row_label_raw,row_label_full,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm trước
-,-,-,1.500.000,1500000.0
742.678,742.678,742.678,-,
5.928.115,5.928.115,5.928.115,-,
2.524.000,2.524.000,2.524.000,-,
482.751,482.751,482.751,-,
3.828.000,3.828.000,3.828.000,-,
99.170,99.170,99.170,-,
114.300,99.170 > 114.300,114.300,33.000,33000.0
3.518.380,3.518.380,3.518.380,-,
715.700,715.700,715.700,-,
124.831,715.700 > 124.831,124.831,38.000,38000.0
86.376,715.700 > 86.376,86.376,59.000,59000.0
3.016.000,3.016.000,3.016.000,-,
1.484.500,1.484.500,1.484.500,-,
