row_label_raw,row_label_full,col_0,Quyền sử dụng đất và nhà cửa vật kiến trúc,"Máy móc, thiết bị",Đơn vị tính: triệu VND,numeric__Quyền sử dụng đất và nhà cửa vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: triệu VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,8.286.763,3.683.801,11.970.564,8286763.0,3683801.0,11970564.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Xây dựng cơ bản hoàn thành(Thuyết minh số 16),103.200,29.500,132.700,103200.0,29500.0,132700.0
Góp vốn vào công ty con,Nguyên giá: > Góp vốn vào công ty con,Góp vốn vào công ty con,(444.350),(219.504),(663.854),-444350.0,-219504.0,-663854.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.958.005),(627.467),(2.585.472),-1958005.0,-627467.0,-2585472.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(352),(14.958),(15.310),-352.0,-14958.0,-15310.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,5.987.256,2.851.372,8.838.628,5987256.0,2851372.0,8838628.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,414.034,569.408,983.442,414034.0,569408.0,983442.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,172.119,327.175,499.294,172119.0,327175.0,499294.0
Góp vốn vào công ty con,Giá trị khấu hao lũy kế: > Góp vốn vào công ty con,Góp vốn vào công ty con,(11.801),(25.521),(37.322),-11801.0,-25521.0,-37322.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(146.057),(152.070),(298.127),-146057.0,-152070.0,-298127.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,428.295,718.992,1.147.287,428295.0,718992.0,1147287.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,7.872.729,3.114.393,10.987.122,7872729.0,3114393.0,10987122.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,5.558.961,2.132.380,7.691.341,5558961.0,2132380.0,7691341.0
