row_label_raw,row_label_full,Nội dung giao dịch,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Chi phí từ thiện phát sinh,Chi phí từ thiện phát sinh,Chi phí từ thiện phát sinh,91.046,700.000,91046.0,700000.0
Chuyển tiền cho mục đích từ thiện,Chuyển tiền cho mục đích từ thiện,Chuyển tiền cho mục đích từ thiện,800.800,-,800800.0,
Thu hồi các khoản chỉ trả hộ từ Quý Thiện Tâm,Thu hồi các khoản chỉ trả hộ từ Quý Thiện Tâm,Thu hồi các khoản chỉ trả hộ từ Quý Thiện Tâm,-,1.134.000,,1134000.0
