row_label_raw,row_label_full,Bên liên quan > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty Nam Hà Nội > Công ty Vinpro > Công ty Vinfast > Công ty Vinsmart > Công ty Vinpearl > Công ty VinTech > Công ty Thời Đại > Các công ty khác,Mối quan hệ > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty con đến ngày 31 tháng 12 năm 2020 > Công ty con,Số cuối năm (Triệu VND) > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 11.024.999 > 2.084.000 > 1.392.500 > 1.383.318 > 1.030.000 > 578.300 > 304.000 > 347.500,"Lãi suất %/năm > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 9,00",Ngày đáo hạn > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Tháng 12 năm 2020 > Tháng 11 năm 2020 > Tháng 12 năm 2019 > Tháng 9 và tháng 12 năm 2020,numeric__Mối quan hệ > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty con đến ngày 31 tháng 12 năm 2020 > Công ty con,numeric__Số cuối năm (Triệu VND) > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 11.024.999 > 2.084.000 > 1.392.500 > 1.383.318 > 1.030.000 > 578.300 > 304.000 > 347.500,"numeric__Lãi suất %/năm > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 9,00",numeric__Ngày đáo hạn > ▶ Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Tháng 12 năm 2020 > Tháng 11 năm 2020 > Tháng 12 năm 2019 > Tháng 9 và tháng 12 năm 2020
,,,,18.144.617,,,,18144617.0,,
▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),▶ Phải thu về cho vay dài hạn (Thuyết minh số 7),,,,
Công ty Vinfast,▶ Phải thu về cho vay dài hạn (Thuyết minh số 7) > Công ty Vinfast,Công ty Vinfast,Công ty con,7.827.000,"9,00",Từ tháng 3 đến tháng 6 năm 2021,,7827000.0,9.0,
,,,,7.827.000,,,,7827000.0,,
