row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2018 VND,01/01/2018 VND,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__01/01/2018 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.230.103.182.215,4.960.731.768.102,,300.0,,5230103182215.0,4960731768102.0
I.,I.,I.,Nợ ngắn hạn,310,,2.531.881.048.346,1.759.611.933.187,,310.0,,2531881048346.0,1759611933187.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,21,560.834.991.582,495.283.480.952,,311.0,21.0,560834991582.0,495283480952.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,22.a,334.804.583.386,88.275.687.487,,312.0,,334804583386.0,88275687487.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,23,80.590.623.961,104.802.680.195,,313.0,23.0,80590623961.0,104802680195.0
4.,4.,4.,Phải trả người lao động,314,,50.774.579.301,37.975.832.415,,314.0,,50774579301.0,37975832415.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,24,204.768.326.824,156.947.658.897,,315.0,24.0,204768326824.0,156947658897.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,25,175.454.546,122.727.273,,318.0,25.0,175454546.0,122727273.0
7.,7.,7.,Phải trả ngắn hạn khác,319,26.a,256.344.239.759,133.260.441.440,,319.0,,256344239759.0,133260441440.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,27.a,1.037.911.728.795,743.495.289.336,,320.0,,1037911728795.0,743495289336.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,28,2.496.285.000,-,,321.0,28.0,2496285000.0,
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,3.180.235.192,(551.864.808),,322.0,,3180235192.0,-551864808.0
II.,II.,II.,Nợ dài hạn,330,,2.698.222.133.869,3.201.119.834.915,,330.0,,2698222133869.0,3201119834915.0
1,1,1,Phải trả dài hạn khác,337,26.b,4.390.768.297,4.000.000.000,,337.0,,4390768297.0,4000000000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,27.b,2.676.349.316.203,3.181.786.535.905,,338.0,,2676349316203.0,3181786535905.0
3.,3.,3.,Thuế thu nhập hoãn lại phải trả,341,29,17.482.049.369,12.091.150.520,,341.0,29.0,17482049369.0,12091150520.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,28,-,3.242.148.490,,342.0,28.0,,3242148490.0
D.,D.,D.,VỐN CHỦ SỐ HỮU,400,,3.482.154.782.169,3.351.759.663.948,,400.0,,3482154782169.0,3351759663948.0
I.,I.,I.,Vốn chủ sở hữu,410,,3.482.322.728.891,3.351.759.663.948,,410.0,,3482322728891.0,3351759663948.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,30,2.993.097.200.000,2.850.578.150.000,,411.0,30.0,2993097200000.0,2850578150000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.993.097.200.000,2.850.578.150.000,,,,2993097200000.0,2850578150000.0
,,,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,2.,2.,Thặng dư vốn cổ phần,412,30,50.510.908.328,50.510.908.328,,412.0,30.0,50510908328.0,50510908328.0
3.,3.,3.,Chênh lệch tỷ giá hối đoái,417,30,16.564.571.254,12.678.454.700,,417.0,30.0,16564571254.0,12678454700.0
4.,4.,4.,Quỹ đầu tư phát triển,418,30,6.196.436.959,6.196.436.959,,418.0,30.0,6196436959.0,6196436959.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,30,42.003.230.080,180.792.184.488,,421.0,30.0,42003230080.0,180792184488.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,33.873.134.488,123.485.602.592,,,,33873134488.0,123485602592.0
,,,- LNST chưa phân phối kỳ này,421b,,8.130.095.592,57.306.581.896,,,,8130095592.0,57306581896.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,31,373.950.382.270,251.003.529.473,,429.0,31.0,373950382270.0,251003529473.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,(167.946.722),-,,430.0,,-167946722.0,
1.,1.,1.,Nguồn kinh phí,431,,-,,,431.0,,,
2.,2.,2.,Nguồn kinh phí đã hình thành TSCĐ,432,,(167.946.722),-,,432.0,,-167946722.0,
,,,TỔNG CỘNG NGUỐN VỐN,430,,8.712.257.964.384,8.312.491.432.050,,430.0,,8712257964384.0,8312491432050.0
