row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2018 VND,01/01/2018 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__01/01/2018 VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,4.061.675.893.273,3.297.982.197.168,,100.0,,4061675893273.0,3297982197168.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,79.631.825.874,373.765.558.712,,110.0,5.0,79631825874.0,373765558712.0
1.,1.,1.,Tiền,111,,79.631.825.874,362.212.184.207,,111.0,,79631825874.0,362212184207.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,11.553.374.505,,112.0,,,11553374505.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,264.000.000.000,297.462.372.053,,120.0,,264000000000.0,297462372053.0
1.,1.,1.,Chứng khoán kinh doanh,121,6,264.000.000.000,282.423.265.980,,121.0,6.0,264000000000.0,282423265980.0
2.,2.,2.,Đầu tư nắm giữ đến ngày đáo hạn,123,7.a,-,15.039.106.073,,123.0,,,15039106073.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.950.478.217.703,2.056.915.341.316,,130.0,,2950478217703.0,2056915341316.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,8,812.813.454.107,702.722.858.712,,131.0,8.0,812813454107.0,702722858712.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,9,519.323.226.758,253.598.813.404,,132.0,9.0,519323226758.0,253598813404.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,10.a,1.413.060.631.595,989.399.424.338,,135.0,,1413060631595.0,989399424338.0
4.,4.,4.,Phải thu ngắn hạn khác,136,11.a,239.001.937.928,133.299.064.653,,136.0,,239001937928.0,133299064653.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,12,(33.721.032.685),(22.104.819.791),,137.0,12.0,-33721032685.0,-22104819791.0
IV.,IV.,IV.,Hàng tồn kho,140,13,745.032.164.249,541.211.555.289,,140.0,13.0,745032164249.0,541211555289.0
