row_label_raw,row_label_full,31/12/2018,Không quá 1 năm,Trên 1 năm,Đơn vị tính: VND Tông,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Đơn vị tính: VND Tông
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,79.631.825.874,-,79.631.825.874,79631825874.0,,79631825874.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,797.335.913.576,-,797.335.913.576,797335913576.0,,797335913576.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,1.406.186.045.804,476.062.735.933,1.882.248.781.737,1406186045804.0,476062735933.0,1882248781737.0
Phải thu khác,Phải thu khác,Phải thu khác,221.702.183.387,325.775.091.484,547.477.274.871,221702183387.0,325775091484.0,547477274871.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,1.020.000.000,1.020.000.000,,1020000000.0,1020000000.0
Cộng,Cộng,Cộng,2.768.855.968.641,802.857.827.417,3.571.713.796.058,2768855968641.0,802857827417.0,3571713796058.0
01/01/2018,01/01/2018,01/01/2018,Không quá 1 năm,Trên 1 năm,Tông,,,
Tiền và các khoản tương đương tiền,01/01/2018 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,373.765.558.712,-,373.765.558.712,373765558712.0,,373765558712.0
Chứng khoán kinh doanh,01/01/2018 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,282.423.265.980,-,282.423.265.980,282423265980.0,,282423265980.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2018 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,15.039.106.073,-,15.039.106.073,15039106073.0,,15039106073.0
Phải thu khách hàng,01/01/2018 > Phải thu khách hàng,Phải thu khách hàng,692.608.912.507,-,692.608.912.507,692608912507.0,,692608912507.0
Phải thu về cho vay,01/01/2018 > Phải thu về cho vay,Phải thu về cho vay,984.716.912.864,752.538.483.608,1.737.255.396.472,984716912864.0,752538483608.0,1737255396472.0
Phải thu khác,01/01/2018 > Phải thu khác,Phải thu khác,118.106.857.294,500.072.729.334,618.179.586.628,118106857294.0,500072729334.0,618179586628.0
Đầu tư góp vốn vào đơn vị khác,01/01/2018 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,2.220.000.000,2.220.000.000,,2220000000.0,2220000000.0
Cộng,01/01/2018 > Cộng,Cộng,2.466.660.613.430,1.254.831.212.942,3.721.491.826.372,2466660613430.0,1254831212942.0,3721491826372.0
