row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mô đá Đắk Wei,Phần mềm máy tính,Chi phí triển khai (a),Quan hệ khách hàng khế ước (b),Cộng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mô đá Đắk Wei,numeric__Phần mềm máy tính,numeric__Chi phí triển khai (a),numeric__Quan hệ khách hàng khế ước (b),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,35.484.374.270,617.689.701,432.444.000,135.477.469.610,32.644.937.500,204.656.915.081,35484374270.0,617689701.0,432444000.0,135477469610.0,32644937500.0,204656915081.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,-,-,-,23.088.426.975,-,23.088.426.975,,,,23088426975.0,,23088426975.0
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,1.462.276.000,-,-,-,-,1.462.276.000,1462276000.0,,,,,1462276000.0
Công ty con CL do chuyển đổi,Nguyên giá > Công ty con CL do chuyển đổi,Công ty con CL do chuyển đổi,-,-,-,2.325.622.159,528.162.500,2.853.784.659,,,,2325622159.0,528162500.0,2853784659.0
"Thanh lý, nhượng bár","Nguyên giá > Thanh lý, nhượng bár","Thanh lý, nhượng bár",13.947.102.155,617.689.701,-,-,-,14.564.791.856,13947102155.0,617689701.0,,,,14564791856.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,22.999.548.115,-,432.444.000,160.891.518.744,33.173.100.000,217.496.610.859,22999548115.0,,432444000.0,160891518744.0,33173100000.0,217496610859.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,88.139.975,145.338.720,361.060.688,116.833.682.175,4.896.740.625,122.324.962.183,88139975.0,145338720.0,361060688.0,116833682175.0,4896740625.0,122324962183.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,10.711.695,12.111.560,40.381.517,12.405.933.890,3.298.206.250,15.767.344.912,10711695.0,12111560.0,40381517.0,12405933890.0,3298206250.0,15767344912.0
CL do chuyển đổi,Khấu hao > CL do chuyển đổi,CL do chuyển đổi,-,-,-,1.962.109.543,98.328.125,2.060.437.668,,,,1962109543.0,98328125.0,2060437668.0
"Thanh lý, nhượng bár","Khấu hao > Thanh lý, nhượng bár","Thanh lý, nhượng bár",95.335.075,157.450.280,-,-,-,252.785.355,95335075.0,157450280.0,,,,252785355.0
Số cuối kỳ,Khấu hao > Số cuối kỳ,Số cuối kỳ,3.516.595,-,401.442.205,131.201.725.608,8.293.275.000,139.899.959.408,3516595.0,,401442205.0,131201725608.0,8293275000.0,139899959408.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,35.396.234.295,472.350.981,71.383.312,18.643.787.435,27.748.196.875,82.331.952.898,35396234295.0,472350981.0,71383312.0,18643787435.0,27748196875.0,82331952898.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,22.996.031.520,-,31.001.795,29.689.793.136,24.879.825.000,77.596.651.451,22996031520.0,,31001795.0,29689793136.0,24879825000.0,77596651451.0
