row_label_raw,row_label_full,col_0,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Tăng/giảm do hợp nhất chuyển đổi báo cáo,Ảnh hưởng do hợp nhất chuyển đổi báo cáo,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong kỳ,numeric__Giảm trong kỳ,numeric__Tăng/giảm do hợp nhất chuyển đổi báo cáo,numeric__Ảnh hưởng do hợp nhất chuyển đổi báo cáo,numeric__Số cuối kỳ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,431.609.264.796,605.076.926.518,728.688.523.622,51.583.392.554,197.667.370,359.778.727.616,431609264796.0,605076926518.0,728688523622.0,51583392554.0,197667370.0,359778727616.0
- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,42.248.000.000,61.481.000.000,74.796.000.000,-,-,28.933.000.000,42248000000.0,61481000000.0,74796000000.0,,,28933000000.0
- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,240.905.140.000,248.385.000.000,283.482.168.775,51.583.392.554,-,257.391.363.779,240905140000.0,248385000000.0,283482168775.0,51583392554.0,,257391363779.0
- Ngân hàng TMCP Ngoại thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Ngoại thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Ngoại thương Việt Nam - CN Gia Lai,85.000.000.000,101.500.000.000,186.500.000.000,-,-,-,85000000000.0,101500000000.0,186500000000.0,,,
- Ngân hàng TMCP Phương Đông VN - CN TPHCM,- Ngân hàng TMCP Phương Đông VN - CN TPHCM,- Ngân hàng TMCP Phương Đông VN - CN TPHCM,45.000.000.000,62.999.336.367,89.999.336.367,-,-,18.000.000.000,45000000000.0,62999336367.0,89999336367.0,,,18000000000.0
- Ngân hàng Standard Chartered Bank (HK) Ltd - USD,- Ngân hàng Standard Chartered Bank (HK) Ltd - USD,- Ngân hàng Standard Chartered Bank (HK) Ltd - USD,2.251.375.000,11.373.125.000,11.373.125.000,-,36.425.000,2.287.800.000,2251375000.0,11373125000.0,11373125000.0,,36425000.0,2287800000.0
- Shinhan Bank (KRW),- Shinhan Bank (KRW),- Shinhan Bank (KRW),8.074.999.450,-,2.994.774.210,-,113.299.208,5.193.524.448,8074999450.0,,2994774210.0,,113299208.0,5193524448.0
- DS Concept (USD),- DS Concept (USD),- DS Concept (USD),-,6.303.211.870,6.303.211.870,-,-,-,,6303211870.0,6303211870.0,,,
- Tradewind Invest LLC,- Tradewind Invest LLC,- Tradewind Invest LLC,-,59.324.224.605,51.046.978.695,-,47.943.162,8.325.189.072,,59324224605.0,51046978695.0,,47943162.0,8325189072.0
- Công ty CP ĐT&PT Điện năng Đức Long Gia Lai,- Công ty CP ĐT&PT Điện năng Đức Long Gia Lai,- Công ty CP ĐT&PT Điện năng Đức Long Gia Lai,8.089.750.346,41.899.846.380,19.833.700.000,-,-,30.155.896.726,8089750346.0,41899846380.0,19833700000.0,,,30155896726.0
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,40.000.000,11.811.182.296,2.359.228.705,-,-,9.491.953.591,40000000.0,11811182296.0,2359228705.0,,,9491953591.0
Các khoản mượn bằng tiền,Các khoản mượn bằng tiền,Các khoản mượn bằng tiền,24.247.840.480,701.937.917.213,682.465.378.213,-,-,43.720.379.480,24247840480.0,701937917213.0,682465378213.0,,,43720379480.0
- Công ty CP Dịch vụ Bảo vệ Đức Long Gia Lai,- Công ty CP Dịch vụ Bảo vệ Đức Long Gia Lai,- Công ty CP Dịch vụ Bảo vệ Đức Long Gia Lai,343.861.504,-,203.500.000,-,-,140.361.504,343861504.0,,203500000.0,,,140361504.0
- Phan Đình Trung,- Phan Đình Trung,- Phan Đình Trung,23.000.000.000,175.000.000.000,155.200.000.000,-,-,42.800.000.000,23000000000.0,175000000000.0,155200000000.0,,,42800000000.0
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,903.978.976,526.937.917.213,527.061.878.213,-,-,780.017.976,903978976.0,526937917213.0,527061878213.0,,,780017976.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,151.263.684.060,192.661.737.836,80.582.147.200,-,-,263.343.274.696,151263684060.0,192661737836.0,80582147200.0,,,263343274696.0
- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,57.000.000.000,70.000.000.000,56.500.000.000,-,-,70.500.000.000,57000000000.0,70000000000.0,56500000000.0,,,70500000000.0
- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,35.300.000.000,37.265.858.000,14.500.000.000,-,-,58.065.858.000,35300000000.0,37265858000.0,14500000000.0,,,58065858000.0
- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai,- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai,- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai,5.587.254.400,8.380.881.600,2.793.627.200,-,-,11.174.508.800,5587254400.0,8380881600.0,2793627200.0,,,11174508800.0
- Ngân hàng TMCP Sài Gòn Thương Tín - CN TP HCM,- Ngân hàng TMCP Sài Gòn Thương Tín - CN TP HCM,- Ngân hàng TMCP Sài Gòn Thương Tín - CN TP HCM,52.221.309.660,75.885.878.236,5.700.000.000,-,-,122.407.187.896,52221309660.0,75885878236.0,5700000000.0,,,122407187896.0
- Ngân hàng TMCP Quốc Dân - Sở giao dịch,- Ngân hàng TMCP Quốc Dân - Sở giao dịch,- Ngân hàng TMCP Quốc Dân - Sở giao dịch,1.155.120.000,1.129.120.000,1.088.520.000,-,-,1.195.720.000,1155120000.0,1129120000.0,1088520000.0,,,1195720000.0
Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,136.374.500.000,368.694.847.003,134.000.000.000,-,-,371.069.347.003,136374500000.0,368694847003.0,134000000000.0,,,371069347003.0
Cộng,Cộng,Cộng,743.495.289.336,1.868.371.428.570,1.625.736.049.035,51.583.392.554,197.667.370,1.037.911.728.795,743495289336.0,1868371428570.0,1625736049035.0,51583392554.0,197667370.0,1037911728795.0
