row_label_raw,row_label_full,col_0,Nội dung,Năm 2018,Năm 2017,numeric__Nội dung,numeric__Năm 2018,numeric__Năm 2017
Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,,,
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Cho thuê tài sản,1.536.000.000,1.536.000.000,,1536000000.0,1536000000.0
Công ty CP DV CTCC Đức Long Bảo Lộc,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty CP DV CTCC Đức Long Bảo Lộc,Công ty CP DV CTCC Đức Long Bảo Lộc,Cho thuê tài sản,2.691.290.376,3.561.890.376,,2691290376.0,3561890376.0
Công ty TNHH Đức Long Dung Quát,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Doanh thu xây lắp,36.733.307.611,102.520.934.111,,36733307611.0,102520934111.0
Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyê,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyê,Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyê,Bán hàng hóa,385.686.709.514,513.951.400.500,,385686709514.0,513951400500.0
Công ty TNHH Phú Thành Gia Pleiku,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Bán hàng hóa,2.055.375.000,11.481.600.000,,2055375000.0,11481600000.0
Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Bán hàng hóa,9.757.690.000,9.226.237.500,,9757690000.0,9226237500.0
"Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ",,,
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,"Mua hàng, nhận dịch vụ > Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL",Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Đi thuê tài sản,381.818.184,381.818.184,,381818184.0,381818184.0
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,"Mua hàng, nhận dịch vụ > Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL",Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Mua khoản đầu tư,217.331.180.000,-,,217331180000.0,
Công ty TNHH Phú Thành Gia Pleiku,"Mua hàng, nhận dịch vụ > Công ty TNHH Phú Thành Gia Pleiku",Công ty TNHH Phú Thành Gia Pleiku,Mua đá các loại,42.269.496.000,144.325.163.500,,42269496000.0,144325163500.0
Công ty TNHH Phú Thành Gia Pleiku,"Mua hàng, nhận dịch vụ > Công ty TNHH Phú Thành Gia Pleiku",Công ty TNHH Phú Thành Gia Pleiku,Thuê thi công xây lắp,19.235.724.545,1.072.700.000,,19235724545.0,1072700000.0
Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,,,
Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Các giao dịch khác > Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Lãi cho vay,15.371.607.444,18.875.631.972,,15371607444.0,18875631972.0
Công ty TNHH Phú Thành Gia Pleiku,Các giao dịch khác > Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Lãi cho vay,11.956.869.050,-,,11956869050.0,
Công ty CP Đầu tư - Xây Dụng Vạn Gia Long,Các giao dịch khác > Công ty CP Đầu tư - Xây Dụng Vạn Gia Long,Công ty CP Đầu tư - Xây Dụng Vạn Gia Long,Lãi cho vay,288.724.110,-,,288724110.0,
Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Các giao dịch khác > Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Cổ tức được nhận,225.036.000,207.270.000,,225036000.0,207270000.0
