row_label_raw,row_label_full,Mục đích sử dụng vốn,Phương án sử dụng vốn,Vốn đã sử dụng đến 31/12/2018,Vốn chưa sử dụng,numeric__Phương án sử dụng vốn,numeric__Vốn đã sử dụng đến 31/12/2018,numeric__Vốn chưa sử dụng
"Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt",300.000.000.000,177.716.686.733,122.283.313.267,300000000000.0,177716686733.0,122283313267.0
Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,150.000.000.000,150.000.000.000,-,150000000000.0,150000000000.0,
Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,50.000.000.000,50.000.000.000,-,50000000000.0,50000000000.0,
Cộng,Cộng,Cộng,500.000.000.000,377.716.686.733,122.283.313.267,500000000000.0,377716686733.0,122283313267.0
