row_label_raw,row_label_full,31/12/2018,Không quá 1 năm,Trên 1 năm,Đơn vị tính: VND Tông,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Đơn vị tính: VND Tông
Phải trả người bán,Phải trả người bán,Phải trả người bán,560.834.991.582,-,560.834.991.582,560834991582.0,,560834991582.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,204.768.326.824,-,204.768.326.824,204768326824.0,,204768326824.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.037.911.728.795,2.676.349.316.203,3.714.261.044.998,1037911728795.0,2676349316203.0,3714261044998.0
Phải trả khác,Phải trả khác,Phải trả khác,255.710.133.759,4.390.768.297,260.100.902.056,255710133759.0,4390768297.0,260100902056.0
Cộng,Cộng,Cộng,2.059.225.180.960,2.680.740.084.500,4.739.965.265.460,2059225180960.0,2680740084500.0,4739965265460.0
01/01/2018,01/01/2018,01/01/2018,Không quá 1 năm,Trên 1 năm,Tông,,,
Phải trả người bán,01/01/2018 > Phải trả người bán,Phải trả người bán,495.283.480.952,-,495.283.480.952,495283480952.0,,495283480952.0
Chi phí phải trả,01/01/2018 > Chi phí phải trả,Chi phí phải trả,156.947.658.897,-,156.947.658.897,156947658897.0,,156947658897.0
Vay và nợ thuê tài chính,01/01/2018 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,743.495.289.336,3.181.786.535.905,3.925.281.825.241,743495289336.0,3181786535905.0,3925281825241.0
Phải trả khác,01/01/2018 > Phải trả khác,Phải trả khác,132.409.871.596,4.000.000.000,136.409.871.596,132409871596.0,4000000000.0,136409871596.0
Cộng,01/01/2018 > Cộng,Cộng,1.528.136.300.781,3.185.786.535.905,4.713.922.836.686,1528136300781.0,3185786535905.0,4713922836686.0
