row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2018 VND,Năm 2017 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2018 VND,numeric__Năm 2017 VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,36.548.979.819,88.752.437.094,,1.0,,36548979819.0,88752437094.0
2.,2.,2.,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,
-,2. > -,-,Khấu hao TSCĐ và BĐSĐT,02,"15,16,17,20",166.373.639.306,156.743.198.011,,2.0,,166373639306.0,156743198011.0
-,2. > -,-,Các khoản dự phòng,03,,14.962.655.158,10.171.827.182,,3.0,,14962655158.0,10171827182.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,37,10.563.566.670,1.381.231,,4.0,37.0,10563566670.0,1381231.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,"36,37,39,40",(154.455.265.572),(169.168.008.280),,5.0,,-154455265572.0,-169168008280.0
-,2. > -,-,Chi phí lãi vay,06,37,329.332.578.988,350.324.190.859,,6.0,37.0,329332578988.0,350324190859.0
3.,2. > 3.,3.,LN từ hoạt động KD trước thay đổi vốn lưu động,08,,403.326.154.369,436.825.026.097,,8.0,,403326154369.0,436825026097.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,201.784.469.129,(468.145.995.153),,9.0,,201784469129.0,-468145995153.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(138.007.901.651),(122.256.828.267),,10.0,,-138007901651.0,-122256828267.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (Không kể trả lãi vay, thuế thu nhập phải nộp)",11,,55.998.152.955,133.750.824.572,,11.0,,55998152955.0,133750824572.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(961.039.260),(305.438.726),,12.0,,-961039260.0,-305438726.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,18.423.265.980,18.423.265.980,,13.0,,18423265980.0,18423265980.0
-,2. > -,-,Tiền lãi vay đã trả,14,"24,26,37",(292.717.575.808),(326.594.392.528),,14.0,,-292717575808.0,-326594392528.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,23,(32.298.601.365),(7.718.739.714),,15.0,23.0,-32298601365.0,-7718739714.0
-,2. > -,-,Tiền chi khác từ hoạt động kinh doanh,17,,(667.900.000),(2.613.833.000),,17.0,,-667900000.0,-2613833000.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,214.879.024.349,(338.636.110.739),,20.0,,214879024349.0,-338636110739.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,Tiền chi để mua sắm XD TSCĐ và các TS DH khác,21,,(173.354.857.572),(278.324.959.343),,21.0,,-173354857572.0,-278324959343.0
2.,II. > 2.,2.,"Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác",22,,32.042.027.045,27.701.082.727,,22.0,,32042027045.0,27701082727.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(791.999.817.636),(1.583.244.499.147),,23.0,,-791999817636.0,-1583244499147.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác",24,,799.633.474.262,1.329.813.994.337,,24.0,,799633474262.0,1329813994337.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(317.761.517.126),1.347.679.124,,25.0,,-317761517126.0,1347679124.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,7.983.534.298,58.869.982.662,,26.0,,7983534298.0,58869982662.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,"11,36",68.957.260.978,138.382.104.243,,27.0,11.36,68957260978.0,138382104243.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(374.499.895.751),(305.454.615.397),,30.0,,-374499895751.0,-305454615397.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,,
1,III. > 1,1,"Tiền thu từ PH cổ phiếu, nhận vốn góp của CSH",31,,10.000.000,549.132.850.000,,31.0,,10000000.0,549132850000.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,,1.499.104.629.384,1.443.673.435.903,,33.0,,1499104629384.0,1443673435903.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,,(1.632.733.179.994),(1.075.341.207.025),,34.0,,-1632733179994.0,-1075341207025.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(133.618.550.610),917.465.078.878,,40.0,,-133618550610.0,917465078878.0
,,,Lưu chuyển tiền thuần trong kỳ,50,,(293.239.422.012),273.374.352.742,,50.0,,-293239422012.0,273374352742.0
,,,Tiền và tương đương tiền đầu kỳ,60,5,373.765.558.712,96.808.960.822,,60.0,5.0,373765558712.0,96808960822.0
