row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P. tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cây lâu năm,TSCĐ khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P. tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cây lâu năm,numeric__TSCĐ khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,383.802.522.896,572.229.840.170,127.554.570.892(89.345.840.655),6.936.308.205,-,2.396.293.870.482,3.486.817.112.645,383802522896.0,572229840170.0,,6936308205.0,,2396293870482.0,3486817112645.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,127.554.570.892(89.345.840.655),89.345.840.655,-,-,-,,,,89345840655.0,,,
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,1.151.726.285,6.301.210.091,-,382.722.779,205.500.000,-,8.041.159.155,1151726285.0,6301210091.0,,382722779.0,205500000.0,,8041159155.0
XDCB hoàn thành,Nguyên giá > XDCB hoàn thành,XDCB hoàn thành,-,-,-,-,175.885.082.455,24.930.494.030,200.815.576.485,,,,,175885082455.0,24930494030.0,200815576485.0
Chuyển từ TP BDS sang,Nguyên giá > Chuyển từ TP BDS sang,Chuyển từ TP BDS sang,19.332.309.132,-,-,-,-,-,19.332.309.132,19332309132.0,,,,,,19332309132.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,321.555.336,9.082.676.598,1.021.161.385,626.774.950,-,-,11.052.168.269,321555336.0,9082676598.0,1021161385.0,626774950.0,,,11052168269.0
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,143.714.968.654,14.401.461.593,7.969.003.561,299.097.454,404.022.162.104,-,570.406.693.366,143714968654.0,14401461593.0,7969003561.0,299097454.0,404022162104.0,,570406693366.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
"Thanh lý, nhượng bán","Công ty con > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.341.294.545,1.004.545.455,-,-,4.384.756.809,-,6.730.596.809,1341294545.0,1004545455.0,,,4384756809.0,,6730596809.0
Giảm do mất QKS tại,Công ty con > Giảm do mất QKS tại,Giảm do mất QKS tại,7.007.057.293,4.073.372.727,-,-,-,-,11.080.430.020,7007057293.0,4073372727.0,,,,,11080430020.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
Số cuối kỳ,Công ty con > Số cuối kỳ,Số cuối kỳ,539.974.730.465,596.937.270.270,47.198.895.183,97.590.744.043,575.727.987.750,2.421.224.364.512,4.278.653.992.223,539974730465.0,596937270270.0,47198895183.0,97590744043.0,575727987750.0,2421224364512.0,4278653992223.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,64.385.440.420,550.289.348.141,110.909.351.733(83.522.022.880),6.552.501.220,-,172.064.980.316,904.201.621.830,64385440420.0,550289348141.0,,6552501220.0,,172064980316.0,904201621830.0
Phân loại lại,Khấu hao > Phân loại lại,Phân loại lại,-,-,110.909.351.733(83.522.022.880),83.522.022.880,-,-,-,,,,83522022880.0,,,
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,14.506.313.559,8.898.674.347,2.488.135.494,2.874.589.145,3.443.887.569,84.786.618.900,116.998.219.014,14506313559.0,8898674347.0,2488135494.0,2874589145.0,3443887569.0,84786618900.0,116998219014.0
CL do chuyển đổi,Khấu hao > CL do chuyển đổi,CL do chuyển đổi,317.659.293,8.987.202.468,953.554.471,640.183.087,-,-,10.898.599.319,317659293.0,8987202468.0,953554471.0,640183087.0,,,10898599319.0
Tăng do hợp nhất,Khấu hao > Tăng do hợp nhất,Tăng do hợp nhất,81.378.188.631,9.205.075.986,5.182.682.403,172.489.436,245.374.268.451,-,341.312.704.907,81378188631.0,9205075986.0,5182682403.0,172489436.0,245374268451.0,,341312704907.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
"Thanh lý, nhượng bán","Công ty con > Thanh lý, nhượng bán","Thanh lý, nhượng bán",304.507.479,435.303.024,-,-,3.525.645.097,-,4.265.455.600,304507479.0,435303024.0,,,3525645097.0,,4265455600.0
