row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số,Số cuối năm > Dự phòng,Số cuối năm > Tỷ lệ sở hữu,Số đầu năm > Giá trị ghi số,Số đầu năm > Dự phòng,Số đầu năm > Tỷ lệ sở hữu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Tỷ lệ sở hữu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Tỷ lệ sở hữu
,,,VND,VND,%,VND,VND,%,,,,,,
a. Đầu tư vào Công ty con,a. Đầu tư vào Công ty con,a. Đầu tư vào Công ty con,60.000.000.000,-,,60.000.000.000,-,,60000000000.0,,,60000000000.0,,
Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,60.000.000.000,-,"60,00",60.000.000.000,-,"60,00",60000000000.0,,60.0,60000000000.0,,60.0
"b. Đầu tư vào Công ty liên doanh, liên kết","b. Đầu tư vào Công ty liên doanh, liên kết","b. Đầu tư vào Công ty liên doanh, liên kết",2.139.744.434.914,(3.830.093.355),,2.139.744.434.914,(4.973.931.260),,2139744434914.0,-3830093355.0,,2139744434914.0,-4973931260.0,
Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,1.585.201.640.000,-,"49,07",1.585.201.640.000,-,"49,07",1585201640000.0,,49.07,1585201640000.0,,49.07
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,486.859.102.200,-,"48,03",486.859.102.200,-,"48,03",486859102200.0,,48.03,486859102200.0,,48.03
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,30.000.000.000,-,"20,00",30.000.000.000,-,"20,00",30000000000.0,,20.0,30000000000.0,,20.0
Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Cằng Hàng không Miền Nam (i),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Cằng Hàng không Miền Nam (i),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Cằng Hàng không Miền Nam (i),15.300.000.000,-,"51,00",15.300.000.000,-,"51,00",15300000000.0,,51.0,15300000000.0,,51.0
Công ty Cổ phần Vận Tài Hàng không Miền Nam,Công ty Cổ phần Vận Tài Hàng không Miền Nam,Công ty Cổ phần Vận Tài Hàng không Miền Nam,14.851.258.736,(257.415.148),"30,00",14.851.258.736,(1.386.590.766),"30,00",14851258736.0,-257415148.0,30.0,14851258736.0,-1386590766.0,30.0
Công ty Cổ phần Thương mại Hàng không Miền Nam,Công ty Cổ phần Thương mại Hàng không Miền Nam,Công ty Cổ phần Thương mại Hàng không Miền Nam,7.532.433.978,(3.572.678.207),"29,53",7.532.433.978,(3.587.340.494),"29,53",7532433978.0,-3572678207.0,29.53,7532433978.0,-3587340494.0,29.53
c. Đầu tư vào đơn vị khác,c. Đầu tư vào đơn vị khác,c. Đầu tư vào đơn vị khác,235.339.048.804,(60.000.000.000),,234.800.000.000,(64.037.183.764),,235339048804.0,-60000000000.0,,234800000000.0,-64037183764.0,
Công ty Cổ Phần Dịch vụ Hàng hóa Sài Gòn,Công ty Cổ Phần Dịch vụ Hàng hóa Sài Gòn,Công ty Cổ Phần Dịch vụ Hàng hóa Sài Gòn,75.539.048.804,-,"13,68",75.000.000.000,-,"13,73",75539048804.0,,13.68,75000000000.0,,13.73
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,60.000.000.000,(60.000.000.000),"10,00",60.000.000.000,(60.000.000.000),"10,00",60000000000.0,-60000000000.0,10.0,60000000000.0,-60000000000.0,10.0
Công ty Cổ phần Dịch Vụ Hàng hóa Hàng không Việt Nam,Công ty Cổ phần Dịch Vụ Hàng hóa Hàng không Việt Nam,Công ty Cổ phần Dịch Vụ Hàng hóa Hàng không Việt Nam,50.000.000.000,-,"19,42",50.000.000.000,-,"19,42",50000000000.0,,19.42,50000000000.0,,19.42
Công ty Cổ Phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty Cổ Phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty Cổ Phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,30.000.000.000,-,"10,00",30.000.000.000,(4.037.183.764),"10,00",30000000000.0,,10.0,30000000000.0,-4037183764.0,10.0
Công ty Cổ phần Đầu tư TCP,Công ty Cổ phần Đầu tư TCP,Công ty Cổ phần Đầu tư TCP,19.800.000.000,-,"18,00",19.800.000.000,-,"18,00",19800000000.0,,18.0,19800000000.0,,18.0
,,,2.435.083.483.718,(63.830.093.355),,2.434.544.434.914,(69.011.115.024),,2435083483718.0,-63830093355.0,,2434544434914.0,-69011115024.0,
