row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VNDSố cuối năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VNDSố cuối năm(Trình bày lại)
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,24.166.078.294.667,19.418.645.209.593,200.0,,24166078294667.0,19418645209593.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,265.501.804.717,265.501.804.717,210.0,,265501804717.0,265501804717.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,7,2.800.000.200,5.600.000.200,211.0,7.0,2800000200.0,5600000200.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,265.501.804.717,265.501.804.717,216.0,9.0,265501804717.0,265501804717.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,10,(2.800.000.200),(5.600.000.200),219.0,10.0,-2800000200.0,-5600000200.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,13.117.419.985.134,11.714.778.449.318,220.0,,13117419985134.0,11714778449318.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,14,13.114.116.922.016,11.714.041.322.383,221.0,14.0,13114116922016.0,11714041322383.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,48.609.014.887.619,44.880.914.989.566,222.0,,48609014887619.0,44880914989566.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(35.494.897.965.603),(33.166.873.667.183),223.0,,-35494897965603.0,-33166873667183.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,15,3.303.063.118,737.126.935,227.0,15.0,3303063118.0,737126935.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,25.654.266.955,22.172.636.282,228.0,,25654266955.0,22172636282.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(22.351.203.837),(21.435.509.347),229.0,,-22351203837.0,-21435509347.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,7.888.086.590.183,4.761.336.391.800,240.0,,7888086590183.0,4761336391800.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,16,7.888.086.590.183,4.761.336.391.800,242.0,16.0,7888086590183.0,4761336391800.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,17,2.371.253.390.363,2.365.533.319.890,250.0,17.0,2371253390363.0,2365533319890.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,60.000.000.000,60.000.000.000,251.0,,60000000000.0,60000000000.0
"2. Đầu tư vào công ty liên doanh,liên kết","2. Đầu tư vào công ty liên doanh,liên kết","2. Đầu tư vào công ty liên doanh,liên kết",252,,2.139.744.434.914,2.139.744.434.914,252.0,,2139744434914.0,2139744434914.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,235.339.048.804,234.800.000.000,253.0,,235339048804.0,234800000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(63.830.093.355),(69.011.115.024),254.0,,-63830093355.0,-69011115024.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,523.816.524.270,311.495.243.868,260.0,,523816524270.0,311495243868.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,92.414.147.543,148.639.415.061,261.0,12.0,92414147543.0,148639415061.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,18,431.402.376.727,162.855.828.807,262.0,18.0,431402376727.0,162855828807.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,66.723.648.646.468,59.636.553.467.171,270.0,,66723648646468.0,59636553467171.0
