row_label_raw,row_label_full,Chỉ tiêu,Mã số,Bảng cân đối kế toán tổng hợp tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,Bảng cân đối kế toán tổng hợp tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,Bảng cân đối kế toán tổng hợp tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND,numeric__Mã số,numeric__Bảng cân đối kế toán tổng hợp tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,numeric__Bảng cân đối kế toán tổng hợp tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,numeric__Bảng cân đối kế toán tổng hợp tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND
TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,40.210.451.632.622,40.217.908.257.578,7.456.624.956,100.0,40210451632622.0,40217908257578.0,7456624956.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,2.491.501.415.061,2.491.501.415.061,-,110.0,2491501415061.0,2491501415061.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,30.427.000.000.000,30.427.000.000.000,-,120.0,30427000000000.0,30427000000000.0,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6.284.572.099.576,6.277.049.133.913,(7.522.965.663),131.0,6284572099576.0,6277049133913.0,-7522965663.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,407.195.975.795,407.195.975.795,-,132.0,407195975795.0,407195975795.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,1.020.176.263.972,1.032.594.446.871,12.418.182.899,136.0,1020176263972.0,1032594446871.0,12418182899.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,(1.245.224.917.188),(1.245.224.917.188),-,137.0,-1245224917188.0,-1245224917188.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,445.019.719.130,446.191.863.439,1.172.144.309,141.0,445019719130.0,446191863439.0,1172144309.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,21.992.107.580,23.439.268.839,1.447.161.259,151.0,21992107580.0,23439268839.0,1447161259.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,341.390.596.938,341.332.699.090,(57.897.848),152.0,341390596938.0,341332699090.0,-57897848.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,16.828.371.758,16.828.371.758,-,153.0,16828371758.0,16828371758.0,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,19.334.676.643.070,19.418.645.209.593,83.968.566.523,200.0,19334676643070.0,19418645209593.0,83968566523.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,265.501.804.717,265.501.804.717,-,210.0,265501804717.0,265501804717.0,
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,11.712.055.006.756,11.714.041.322.383,1.986.315.627,221.0,11712055006756.0,11714041322383.0,1986315627.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,44.955.524.402.421,44.880.914.989.566,(74.609.412.855),222.0,44955524402421.0,44880914989566.0,-74609412855.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(33.243.469.395.665),(33.166.873.667.183),76.595.728.482,223.0,-33243469395665.0,-33166873667183.0,76595728482.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,737.126.935,737.126.935,-,227.0,737126935.0,737126935.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,22.172.636.282,22.172.636.282,-,228.0,22172636282.0,22172636282.0,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,(21.435.509.347),(21.435.509.347),-,229.0,-21435509347.0,-21435509347.0,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,4.681.667.319.437,4.761.336.391.800,79.669.072.363,242.0,4681667319437.0,4761336391800.0,79669072363.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,2.365.533.319.890,2.365.533.319.890,-,250.0,2365533319890.0,2365533319890.0,
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,146.189.597.681,148.639.415.061,2.449.817.380,261.0,146189597681.0,148639415061.0,2449817380.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,162.992.467.654,162.855.828.807,(136.638.847),262.0,162992467654.0,162855828807.0,-136638847.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,59.545.128.275.692,59.636.553.467.171,91.425.191.479,270.0,59545128275692.0,59636553467171.0,91425191479.0
