row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn","a. Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",84.802.251.030,99.758.268.374,84802251030.0,99758268374.0
Thuế thu nhập cá nhân phải hoàn trả cho người lao động,a. Ngắn hạn > Thuế thu nhập cá nhân phải hoàn trả cho người lao động,Thuế thu nhập cá nhân phải hoàn trả cho người lao động,71.638.149.276,77.862.592.226,71638149276.0,77862592226.0
Phí nhượng quyền khai thác cảng hàng không,a. Ngắn hạn > Phí nhượng quyền khai thác cảng hàng không,Phí nhượng quyền khai thác cảng hàng không,16.733.551.500,18.907.065.000,16733551500.0,18907065000.0
Kinh phí công đoàn,a. Ngắn hạn > Kinh phí công đoàn,Kinh phí công đoàn,2.994.171.055,6.066.945.103,2994171055.0,6066945103.0
Chênh lệch phải nộp từ hoạt động khai thác tài sản KCHTHK,a. Ngắn hạn > Chênh lệch phải nộp từ hoạt động khai thác tài sản KCHTHK,Chênh lệch phải nộp từ hoạt động khai thác tài sản KCHTHK,,877.355.282.796,,877355282796.0
"Các khoản phải trả, phải nộp khác","a. Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",41.684.240.580,7.775.347.571,41684240580.0,7775347571.0
,,,217.852.363.441,1.087.725.501.070,217852363441.0,1087725501070.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","b. Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",157.421.551.625,68.156.364.914,157421551625.0,68156364914.0
,,,157.421.551.625,68.156.364.914,157421551625.0,68156364914.0
