row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Công trình thuộc sở hữu Tổng Công ty,Công trình thuộc sở hữu Tổng Công ty,Công trình thuộc sở hữu Tổng Công ty,Công trình thuộc sở hữu Tổng Công ty,Công trình thuộc sở hữu Tổng Công ty,,
a. Mua sắm tài sản cố định,Công trình thuộc sở hữu Tổng Công ty > a. Mua sắm tài sản cố định,a. Mua sắm tài sản cố định,16.882.234.538,7.854.087.891,16882234538.0,7854087891.0
b. Xây dựng cơ bản,Công trình thuộc sở hữu Tổng Công ty > b. Xây dựng cơ bản,b. Xây dựng cơ bản,7.808.173.582.868,4.743.557.191.760,7808173582868.0,4743557191760.0
Đầu tư xây dựng giai đoạn 1 - Cảng Hàng không Quốc tế Long Thành,Công trình thuộc sở hữu Tổng Công ty > Đầu tư xây dựng giai đoạn 1 - Cảng Hàng không Quốc tế Long Thành,Đầu tư xây dựng giai đoạn 1 - Cảng Hàng không Quốc tế Long Thành,5.354.905.157.348,2.893.281.898.688,5354905157348.0,2893281898688.0
Xây dựng nhà ga hàng khách T3 - Cảng Hàng không Quốc tế Tân Sơn Nhất,Công trình thuộc sở hữu Tổng Công ty > Xây dựng nhà ga hàng khách T3 - Cảng Hàng không Quốc tế Tân Sơn Nhất,Xây dựng nhà ga hàng khách T3 - Cảng Hàng không Quốc tế Tân Sơn Nhất,1.472.296.744.152,211.123.154.833,1472296744152.0,211123154833.0
"Mở rộng sân đỗ, hệ thống tiếp nhiên liệu khu vực nhà ga hành khách T2 - Cảng Hàng không Quốc tế Nội Bài","Công trình thuộc sở hữu Tổng Công ty > Mở rộng sân đỗ, hệ thống tiếp nhiên liệu khu vực nhà ga hành khách T2 - Cảng Hàng không Quốc tế Nội Bài","Mở rộng sân đỗ, hệ thống tiếp nhiên liệu khu vực nhà ga hành khách T2 - Cảng Hàng không Quốc tế Nội Bài",454.676.736.342,10.444.722.595,454676736342.0,10444722595.0
Mở rộng nhà ga hành khách T2 - Cảng Hàng không Quốc tế Nội Bài,Công trình thuộc sở hữu Tổng Công ty > Mở rộng nhà ga hành khách T2 - Cảng Hàng không Quốc tế Nội Bài,Mở rộng nhà ga hành khách T2 - Cảng Hàng không Quốc tế Nội Bài,122.154.575.649,29.874.479.468,122154575649.0,29874479468.0
Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Nội Bài,Công trình thuộc sở hữu Tổng Công ty > Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Nội Bài,Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Nội Bài,109.216.199.089,108.935.876.927,109216199089.0,108935876927.0
Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Tân Sơn Nhất,Công trình thuộc sở hữu Tổng Công ty > Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Tân Sơn Nhất,Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Tân Sơn Nhất,108.726.176.934,92.688.969.955,108726176934.0,92688969955.0
Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Đà Nẵng,Công trình thuộc sở hữu Tổng Công ty > Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Đà Nẵng,Hệ thống radar thời tiết công nghệ Doppler - Cảng Hàng không Quốc tế Đà Nẵng,74.085.323.319,74.085.323.319,74085323319.0,74085323319.0
Xây dựng nhà ga hành khách T2 - Cảng Hàng không Quốc tế Phú Bài,Công trình thuộc sở hữu Tổng Công ty > Xây dựng nhà ga hành khách T2 - Cảng Hàng không Quốc tế Phú Bài,Xây dựng nhà ga hành khách T2 - Cảng Hàng không Quốc tế Phú Bài,-,1.008.006.602.252,,1008006602252.0
Mở rộng sân đỗ máy bay (Giai đoạn 1) - Cảng Hàng không Quốc tế Phú Bài,Công trình thuộc sở hữu Tổng Công ty > Mở rộng sân đỗ máy bay (Giai đoạn 1) - Cảng Hàng không Quốc tế Phú Bài,Mở rộng sân đỗ máy bay (Giai đoạn 1) - Cảng Hàng không Quốc tế Phú Bài,-,196.704.322.394,,196704322394.0
Các công trình khác,Công trình thuộc sở hữu Tổng Công ty > Các công trình khác,Các công trình khác,112.112.670.035,118.411.841.329,112112670035.0,118411841329.0
c. Sửa chữa tài sản cố định,Công trình thuộc sở hữu Tổng Công ty > c. Sửa chữa tài sản cố định,c. Sửa chữa tài sản cố định,12.433.806.243,2.481.440.236,12433806243.0,2481440236.0
,,,7.837.489.623.649,4.753.892.719.887,7837489623649.0,4753892719887.0
Công trình thuộc KCHTHK,Công trình thuộc KCHTHK,Công trình thuộc KCHTHK,Công trình thuộc KCHTHK,Công trình thuộc KCHTHK,,
a. Xây dựng cơ bản,Công trình thuộc KCHTHK > a. Xây dựng cơ bản,a. Xây dựng cơ bản,1.213.327.272,1.213.327.272,1213327272.0,1213327272.0
Cải tạo đường hạ cắt cánh Cảng Hàng không Buôn Ma Thuột,Công trình thuộc KCHTHK > Cải tạo đường hạ cắt cánh Cảng Hàng không Buôn Ma Thuột,Cải tạo đường hạ cắt cánh Cảng Hàng không Buôn Ma Thuột,1.213.327.272,1.213.327.272,1213327272.0,1213327272.0
b. Sửa chữa tài sản KCHTHK,Công trình thuộc KCHTHK > b. Sửa chữa tài sản KCHTHK,b. Sửa chữa tài sản KCHTHK,49.383.639.262,6.230.344.641,49383639262.0,6230344641.0
,,,50.596.966.534,7.443.671.913,50596966534.0,7443671913.0
,,,7.888.086.590.183,4.761.336.391.800,7888086590183.0,4761336391800.0
