row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Công cụ, dụng cụ","a. Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",13.716.284.301,11.414.285.461,13716284301.0,11414285461.0
"Bảo hiểm hàng không, phi hàng không","a. Ngắn hạn > Bảo hiểm hàng không, phi hàng không","Bảo hiểm hàng không, phi hàng không",2.884.766.218,2.577.234.412,2884766218.0,2577234412.0
Nhiên liệu,a. Ngắn hạn > Nhiên liệu,Nhiên liệu,2.715.946.702,2.591.735.202,2715946702.0,2591735202.0
Chi phí phúc lợi người lao động,a. Ngắn hạn > Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,-,2.433.175.545,,2433175545.0
Các khoản khác,a. Ngắn hạn > Các khoản khác,Các khoản khác,5.191.473.439,4.422.838.219,5191473439.0,4422838219.0
,,,24.508.470.660,23.439.268.839,24508470660.0,23439268839.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc - Cắng Hàng không quốc tế Đà Nẵng,b. Dài hạn > Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc - Cắng Hàng không quốc tế Đà Nẵng,Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc - Cắng Hàng không quốc tế Đà Nẵng,14.251.985.746,20.718.899.947,14251985746.0,20718899947.0
Đền bù giải phóng mặt bằng dự án mở rộng Cắng hàng không quốc tế Đà Nẵng,b. Dài hạn > Đền bù giải phóng mặt bằng dự án mở rộng Cắng hàng không quốc tế Đà Nẵng,Đền bù giải phóng mặt bằng dự án mở rộng Cắng hàng không quốc tế Đà Nẵng,12.258.823.680,12.258.823.680,12258823680.0,12258823680.0
Đền bù giải phóng mặt bằng sân đồ T2 - Cắng hàng không quốc tế Nội Bài,b. Dài hạn > Đền bù giải phóng mặt bằng sân đồ T2 - Cắng hàng không quốc tế Nội Bài,Đền bù giải phóng mặt bằng sân đồ T2 - Cắng hàng không quốc tế Nội Bài,9.724.000.000,68.068.000.000,9724000000.0,68068000000.0
"Công cụ, dụng cụ","b. Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",36.306.363.748,25.925.522.446,36306363748.0,25925522446.0
Bản quyền phần mềm máy tính,b. Dài hạn > Bản quyền phần mềm máy tính,Bản quyền phần mềm máy tính,14.930.308.350,12.765.883.678,14930308350.0,12765883678.0
Các khoản khác,b. Dài hạn > Các khoản khác,Các khoản khác,4.942.666.019,8.902.285.310,4942666019.0,8902285310.0
,,,92.414.147.543,148.639.415.061,92414147543.0,148639415061.0
