row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,403.104.281.932,134.911.642.537,403104281932.0,134911642537.0
Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,14.775.208.782,12.579.689.459,14775208782.0,12579689459.0
Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,12.431.428.564,9.104.164.337,12431428564.0,9104164337.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,271.087.007,2.927.733.970,271087007.0,2927733970.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,248.383.693,2.615.861.286,248383693.0,2615861286.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,571.986.749,716.737.218,571986749.0,716737218.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,431.402.376.727,162.855.828.807,431402376727.0,162855828807.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(268.192.639.395),(134.911.642.537),-268192639395.0,-134911642537.0
Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,(2.195.519.323),(3.287.668.524),-2195519323.0,-3287668524.0
Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,(3.327.264.227),21.746.651,-3327264227.0,21746651.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,2.656.646.963,(1.744.713.047),2656646963.0,-1744713047.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,2.367.477.593,(2.615.861.286),2367477593.0,-2615861286.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,144.750.469,82.933.594,144750469.0,82933594.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,(268.546.547.920),(142.455.205.149),-268546547920.0,-142455205149.0
