row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,26,20.105.701.046.398,13.900.260.105.279,1.0,26.0,20105701046398.0,13900260105279.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,26,104.358.523.579,93.004.251.434,2.0,26.0,104358523579.0,93004251434.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,20.001.342.522.819,13.807.255.853.845,10.0,,20001342522819.0,13807255853845.0
4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,11,27,8.169.976.063.198,7.303.417.567.635,11.0,27.0,8169976063198.0,7303417567635.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,11.831.366.459.621,6.503.838.286.210,20.0,,11831366459621.0,6503838286210.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,29,2.422.139.706.933,4.214.205.153.588,21.0,29.0,2422139706933.0,4214205153588.0
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,22,30,103.464.726.298,89.046.600.005,22.0,30.0,103464726298.0,89046600005.0
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,,,66.912.656.317,72.167.857.692,,,66912656317.0,72167857692.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,31,337.549.710.395,220.063.489.580,25.0,31.0,337549710395.0,220063489580.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,31,3.418.084.711.330,1.643.859.547.247,26.0,31.0,3418084711330.0,1643859547247.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,10.394.407.018.531,8.765.073.802.966,30.0,,10394407018531.0,8765073802966.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,32,25.355.264.063,114.521.684.926,31.0,32.0,25355264063.0,114521684926.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,33,3.360.267.987,6.841.760.361,32.0,33.0,3360267987.0,6841760361.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,21.994.996.076,107.679.924.565,40.0,,21994996076.0,107679924565.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,10.416.402.014.607,8.872.753.727.531,50.0,,10416402014607.0,8872753727531.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,2.284.806.160.005,1.878.855.703.399,51.0,34.0,2284806160005.0,1878855703399.0
16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,18,(268.546.547.920),(142.455.205.149),52.0,18.0,-268546547920.0,-142455205149.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,8.400.142.402.522,7.136.353.229.281,60.0,,8400142402522.0,7136353229281.0
"Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác","Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác","Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác",,,7.162.723.264.439,6.242.093.454.202,,,7162723264439.0,6242093454202.0
"Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác","Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác","Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác",,,1.237.419.138.083,894.259.775.079,,,1237419138083.0,894259775079.0
