row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã báo cáo VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,13.902.292.927.348,13.900.260.105.279,(2.032.822.069),1.0,13902292927348.0,13900260105279.0,-2032822069.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,93.004.251.434,93.004.251.434,-,2.0,93004251434.0,93004251434.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,13.809.288.675.914,13.807.255.853.845,(2.032.822.069),10.0,13809288675914.0,13807255853845.0,-2032822069.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,7.323.403.182.026,7.303.417.567.635,(19.985.614.391),11.0,7323403182026.0,7303417567635.0,-19985614391.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,6.485.885.493.888,6.503.838.286.210,17.952.792.322,20.0,6485885493888.0,6503838286210.0,17952792322.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,4.198.497.336.065,4.214.205.153.588,15.707.817.523,21.0,4198497336065.0,4214205153588.0,15707817523.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,89.962.600.005,89.046.600.005,(916.000.000),22.0,89962600005.0,89046600005.0,-916000000.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,220.063.489.580,220.063.489.580,-,25.0,220063489580.0,220063489580.0,
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,1.697.639.597.568,1.643.859.547.247,(53.780.050.321),26.0,1697639597568.0,1643859547247.0,-53780050321.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,8.676.717.142.800,8.765.073.802.966,88.356.660.166,30.0,8676717142800.0,8765073802966.0,88356660166.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,12.723.690.387,114.521.684.926,101.797.994.539,31.0,12723690387.0,114521684926.0,101797994539.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,1.037.260.361,6.841.760.361,5.804.500.000,32.0,1037260361.0,6841760361.0,5804500000.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,11.686.430.026,107.679.924.565,95.993.494.539,40.0,11686430026.0,107679924565.0,95993494539.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,8.688.403.572.826,8.872.753.727.531,184.350.154.705,50.0,8688403572826.0,8872753727531.0,184350154705.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,1.842.007.882.476,1.878.855.703.399,36.847.820.923,51.0,1842007882476.0,1878855703399.0,36847820923.0
16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,(142.591.843.996),(142.455.205.149),136.638.847,52.0,-142591843996.0,-142455205149.0,136638847.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,6.988.987.534.346,7.136.353.229.281,147.365.694.935,60.0,6988987534346.0,7136353229281.0,147365694935.0
- Lợi nhuận của Tổng Công ty,- Lợi nhuận của Tổng Công ty,- Lợi nhuận của Tổng Công ty,,6.097.295.524.374,6.242.093.454.202,144.797.929.828,,6097295524374.0,6242093454202.0,144797929828.0
- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý,- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý,- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý,,891.692.009.972,894.259.775.079,2.567.765.107,,891692009972.0,894259775079.0,2567765107.0
