row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,numeric__Nhà xuốngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm (Trình bày lại),NGUYÊN GIÁ > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),27.026.739.926.725,14.861.753.456.024,2.872.125.864.857,120.295.741.960,44.880.914.989.566,27026739926725.0,14861753456024.0,2872125864857.0,120295741960.0,44880914989566.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,6.484.131.615,164.297.039.697,213.394.616.093,2.760.487.777,386.936.275.182,6484131615.0,164297039697.0,213394616093.0,2760487777.0,386936275182.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,2.509.121.233.520,861.064.356.560,-,513.761.272,3.370.699.351.352,2509121233520.0,861064356560.0,,513761272.0,3370699351352.0
Thanh lý trong năm,NGUYÊN GIÁ > Thanh lý trong năm,Thanh lý trong năm,(14.464.106.885),(5.379.728.889),(8.545.033.616),(200.859.091),(28.589.728.481),-14464106885.0,-5379728889.0,-8545033616.0,-200859091.0,-28589728481.0
Giảm do nhập lại hàng tồn khoxuất dùng cho tài sản,NGUYÊN GIÁ > Giảm do nhập lại hàng tồn khoxuất dùng cho tài sản,Giảm do nhập lại hàng tồn khoxuất dùng cho tài sản,-,(946.000.000),-,-,(946.000.000),,-946000000.0,,,-946000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,29.527.881.184.975,15.880.789.123.392,3.076.975.447.334,123.369.131.918,48.609.014.887.619,29527881184975.0,15880789123392.0,3076975447334.0,123369131918.0,48609014887619.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm (Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),17.512.892.757.947,13.203.995.987.701,2.350.237.832.280,99.747.089.255,33.166.873.667.183,17512892757947.0,13203995987701.0,2350237832280.0,99747089255.0,33166873667183.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.398.781.892.191,743.808.569.880,207.459.617.057,6.563.947.773,2.356.614.026.901,1398781892191.0,743808569880.0,207459617057.0,6563947773.0,2356614026901.0
Thanh lý trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý trong năm,Thanh lý trong năm,(14.464.106.885),(5.379.728.889),(8.545.033.616),(200.859.091),(28.589.728.481),-14464106885.0,-5379728889.0,-8545033616.0,-200859091.0,-28589728481.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(14.406.151.013),14.406.151.013,-,-,-,-14406151013.0,14406151013.0,,,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,18.882.804.392.240,13.956.830.979.705,2.549.152.415.721,106.110.177.937,35.494.897.965.603,18882804392240.0,13956830979705.0,2549152415721.0,106110177937.0,35494897965603.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm (Trình bày lại),GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm (Trình bày lại),Tại ngày đầu năm (Trình bày lại),9.513.847.168.778,1.657.757.468.323,521.888.032.577,20.548.652.705,11.714.041.322.383,9513847168778.0,1657757468323.0,521888032577.0,20548652705.0,11714041322383.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,10.645.076.792.735,1.923.958.143.687,527.823.031.613,17.258.953.981,13.114.116.922.016,10645076792735.0,1923958143687.0,527823031613.0,17258953981.0,13114116922016.0
