row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,10.416.402.014.607,8.872.753.727.531,10416402014607.0,8872753727531.0
Các khoản điều chỉnh tăng thu nhập chịu thuế,Các khoản điều chỉnh tăng thu nhập chịu thuế,Các khoản điều chỉnh tăng thu nhập chịu thuế,2.161.645.179.564,814.972.634.196,2161645179564.0,814972634196.0
Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,62.157.142.821,45.520.821.686,62157142821.0,45520821686.0
Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,73.876.043.909,62.898.447.295,73876043909.0,62898447295.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,1.241.918.463,13.079.306.432,1241918463.0,13079306432.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiền và các khoản phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiền và các khoản phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiền và các khoản phải thu có gốc ngoại tệ,1.355.435.036,14.638.669.846,1355435036.0,14638669846.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,2.015.521.409.658,674.558.212.687,2015521409658.0,674558212687.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,2.859.933.746,3.583.686.088,2859933746.0,3583686088.0
Chi phí loại trừ khi tính thuế,Chi phí loại trừ khi tính thuế,Chi phí loại trừ khi tính thuế,4.633.295.931,693.490.162,4633295931.0,693490162.0
Các khoản điều chỉnh giảm thu nhập chịu thuế,Các khoản điều chỉnh giảm thu nhập chịu thuế,Các khoản điều chỉnh giảm thu nhập chịu thuế,(814.279.144.034),(102.003.118.287),-814279144034.0,-102003118287.0
Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,(45.520.821.686),(45.629.554.938),-45520821686.0,-45629554938.0
Chi phí thuê đất,Chi phí thuê đất,Chi phí thuê đất,(62.898.447.295),(46.460.104.673),-62898447295.0,-46460104673.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,(13.079.306.432),-,-13079306432.0,
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiền và các khoản phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiền và các khoản phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiền và các khoản phải thu có gốc ngoại tệ,(14.638.669.846),(5.915.104.618),-14638669846.0,-5915104618.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(674.558.212.687),-,-674558212687.0,
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,(3.583.686.088),(3.998.354.058),-3583686088.0,-3998354058.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(339.737.250.110),(191.444.726.445),-339737250110.0,-191444726445.0
Thu nhập chịu thuế năm hiện hành,Thu nhập chịu thuế năm hiện hành,Thu nhập chịu thuế năm hiện hành,11.424.030.800.027,9.394.278.516.995,11424030800027.0,9394278516995.0
Thu nhập chịu thuế suất thông thường 20%,Thu nhập chịu thuế suất thông thường 20%,Thu nhập chịu thuế suất thông thường 20%,11.424.030.800.027,9.394.278.516.995,11424030800027.0,9394278516995.0
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,2.284.806.160.005,1.878.855.703.399,2284806160005.0,1878855703399.0
