row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,16.920.881.424.280,16.278.563.256.922,,300.0,,16920881424280.0,16278563256922.0
I.,I.,I.,Nợ ngắn hạn,310,,6.717.428.351.961,5.376.002.117.220,,310.0,,6717428351961.0,5376002117220.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,19,1.188.189.990.131,923.828.094.788,,311.0,19.0,1188189990131.0,923828094788.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,9.601.723.321,26.572.927.404,,312.0,,9601723321.0,26572927404.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,13,3.054.950.173.589,1.597.591.407.807,,313.0,13.0,3054950173589.0,1597591407807.0
4.,4.,4.,Phải trả người lao động,314,,1.104.048.347.336,966.940.433.046,,314.0,,1104048347336.0,966940433046.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,530.611.223.439,214.043.694.440,,315.0,20.0,530611223439.0,214043694440.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,4.469.693.758,2.427.844.322,,318.0,,4469693758.0,2427844322.0
7.,7.,7.,Phải trả ngắn hạn khác,319,21,217.852.363.441,1.087.725.501.070,,319.0,21.0,217852363441.0,1087725501070.0
8.,8.,8.,Vay ngắn hạn,320,22,410.420.912.532,366.327.406.916,,320.0,22.0,410420912532.0,366327406916.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,23,197.283.924.414,190.544.807.427,,322.0,23.0,197283924414.0,190544807427.0
II.,II.,II.,Nợ dài hạn,330,,10.203.453.072.319,10.902.561.139.702,,330.0,,10203453072319.0,10902561139702.0
1.,1.,1.,Phải trả dài hạn khác,337,21,157.421.551.625,68.156.364.914,,337.0,21.0,157421551625.0,68156364914.0
2.,2.,2.,Vay dài hạn,338,22,10.046.031.520.694,10.834.404.774.788,,338.0,22.0,10046031520694.0,10834404774788.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,49.802.767.222.188,43.357.990.210.249,,400.0,,49802767222188.0,43357990210249.0
I.,I.,I.,Vốn chủ sở hữu,410,24,49.802.767.222.188,43.357.990.210.249,,410.0,24.0,49802767222188.0,43357990210249.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,21.771.732.360.000,21.771.732.360.000,,411.0,,21771732360000.0,21771732360000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,21.771.732.360.000,21.771.732.360.000,,,,21771732360000.0,21771732360000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,14.602.790.587,14.602.790.587,,412.0,,14602790587.0,14602790587.0
3.,3.,3.,Cổ phiếu quỹ,415,,(2.918.680.000),(2.918.680.000),,415.0,,-2918680000.0,-2918680000.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,6.034.593.641.645,6.034.593.641.645,,418.0,,6034593641645.0,6034593641645.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,21.984.757.109.956,15.539.980.098.017,,421.0,,21984757109956.0,15539980098017.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,14.822.033.845.517,9.297.886.643.815,,,,14822033845517.0,9297886643815.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,7.162.723.264.439,6.242.093.454.202,,,,7162723264439.0,6242093454202.0
