row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,10.416.402.014.607,8.872.753.727.531,1.0,10416402014607.0,8872753727531.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khấu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,2.355.606.338.743,2.327.607.053.206,2.0,2355606338743.0,2327607053206.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,2.469.986.253.979,753.683.879.031,3.0,2469986253979.0,753683879031.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(384.721.363.391),(2.351.529.004.088),4.0,-384721363391.0,-2351529004088.0
Lãi từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(1.970.210.243.331),(1.806.360.701.565),5.0,-1970210243331.0,-1806360701565.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,66.912.656.317,72.167.857.692,6.0,66912656317.0,72167857692.0
Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,(75.185.577.920),7.0,,-75185577920.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,08,12.953.975.656.924,7.793.137.233.887,8.0,12953975656924.0,7793137233887.0
