row_label_raw,row_label_full,Trong vòng một năm,Số cuối nămVND > 410.420.912.532,Số đầu năm(Trình bày lại)VND > 366.327.406.916,numeric__Số cuối nămVND > 410.420.912.532,numeric__Số đầu năm(Trình bày lại)VND > 366.327.406.916
Trong nằm thứ hai,Trong nằm thứ hai,Trong nằm thứ hai,410.420.912.532,426.090.355.106,410420912532.0,426090355106.0
Từ nằm thứ ba đến nằm thứ năm,Từ nằm thứ ba đến nằm thứ năm,Từ nằm thứ ba đến nằm thứ năm,1.231.262.737.596,1.278.271.065.318,1231262737596.0,1278271065318.0
Trên nằm năm,Trên nằm năm,Trên nằm năm,8.404.347.870.566,9.130.043.354.364,8404347870566.0,9130043354364.0
,,,10.456.452.433.226,11.200.732.181.704,10456452433226.0,11200732181704.0
Trừ số vay dài hạn phải trả trong vòng 12 tháng (trình bày như vay ngắn hạn),Trừ số vay dài hạn phải trả trong vòng 12 tháng (trình bày như vay ngắn hạn),Trừ số vay dài hạn phải trả trong vòng 12 tháng (trình bày như vay ngắn hạn),410.420.912.532,366.327.406.916,410420912532.0,366327406916.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,10.046.031.520.694,10.834.404.774.788,10046031520694.0,10834404774788.0
