row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Lãi tiền gửi có kỳ hạn,a. Ngắn hạn > Lãi tiền gửi có kỳ hạn,Lãi tiền gửi có kỳ hạn,788.992.958.902,841.419.134.247,788992958902.0,841419134247.0
Phải thu về cổ phần hóa,a. Ngắn hạn > Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,68.979.496.633,68.979.496.633,68979496633.0,68979496633.0
Bàn giao tài sản khí tượng cho,a. Ngắn hạn > Bàn giao tài sản khí tượng cho,Bàn giao tài sản khí tượng cho,52.411.366.089,52.411.366.089,52411366089.0,52411366089.0
Tổng Công ty Quản lý Bay Việt Nam,Tổng Công ty Quản lý Bay Việt Nam,Tổng Công ty Quản lý Bay Việt Nam,Tổng Công ty Quản lý Bay Việt Nam,Tổng Công ty Quản lý Bay Việt Nam,,
"Cổ tức, lợi nhuận được chia","Tổng Công ty Quản lý Bay Việt Nam > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",26.250.000.000,21.250.000.000,26250000000.0,21250000000.0
Thuế GTGT đầu vào chưa được kê khai khấu trừ,Tổng Công ty Quản lý Bay Việt Nam > Thuế GTGT đầu vào chưa được kê khai khấu trừ,Thuế GTGT đầu vào chưa được kê khai khấu trừ,8.977.243.738,14.037.913.837,8977243738.0,14037913837.0
Phải thu khác,Tổng Công ty Quản lý Bay Việt Nam > Phải thu khác,Phải thu khác,37.872.949.007,34.496.536.065,37872949007.0,34496536065.0
,,,983.484.014.369,1.032.594.446.871,983484014369.0,1032594446871.0
