row_label_raw,row_label_full,col_0,"Quỹ khen thưởng,phúc lợi",Quỹ thưởngBan điều hành,Tổng,"numeric__Quỹ khen thưởng,phúc lợi",numeric__Quỹ thưởngBan điều hành,numeric__Tổng
,,,VND,VND,VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,189.010.604.427,1.534.203.000,190.544.807.427,189010604427.0,1534203000.0,190544807427.0
Tăng từ lợi nhuận,Tăng từ lợi nhuận,Tăng từ lợi nhuận,715.116.900.000,2.829.352.500,717.946.252.500,715116900000.0,2829352500.0,717946252500.0
Tăng khác,Tăng khác,Tăng khác,1.391.483.357,-,1.391.483.357,1391483357.0,,1391483357.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,(709.164.415.870),(3.434.203.000),(712.598.618.870),-709164415870.0,-3434203000.0,-712598618870.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,196.354.571.914,929.352.500,197.283.924.414,196354571914.0,929352500.0,197283924414.0
