row_label_raw,row_label_full,Giá trị tạm tăng của các công trình xây dựng cơ bản,Số cuối nămVND > 360.336.595.385,Số đầu năm(Trình bày lại)VND > 88.956.709.866,numeric__Số cuối nămVND > 360.336.595.385,numeric__Số đầu năm(Trình bày lại)VND > 88.956.709.866
"Tiền thuế đất, thuê đất","Tiền thuế đất, thuê đất","Tiền thuế đất, thuê đất",96.260.635.300,68.514.070.435,96260635300.0,68514070435.0
Lãi vay,Lãi vay,Lãi vay,18.615.000.000,20.230.000.000,18615000000.0,20230000000.0
Dịch vụ vận hành hệ thống tra nạp nhiên liệu ngầm,Dịch vụ vận hành hệ thống tra nạp nhiên liệu ngầm,Dịch vụ vận hành hệ thống tra nạp nhiên liệu ngầm,8.865.849.340,-,8865849340.0,
Tiền điện,Tiền điện,Tiền điện,8.588.032.030,5.292.871.657,8588032030.0,5292871657.0
"Khám sức khỏe, bồi dưỡng độc hại","Khám sức khỏe, bồi dưỡng độc hại","Khám sức khỏe, bồi dưỡng độc hại",7.193.742.049,4.752.661.462,7193742049.0,4752661462.0
Hoa hồng thu hộ,Hoa hồng thu hộ,Hoa hồng thu hộ,6.523.653.941,18.344.654.873,6523653941.0,18344654873.0
Dịch vụ vệ sinh,Dịch vụ vệ sinh,Dịch vụ vệ sinh,3.795.354.187,3.993.601.196,3795354187.0,3993601196.0
Các khoản trích trước khác,Các khoản trích trước khác,Các khoản trích trước khác,20.432.361.207,3.959.124.951,20432361207.0,3959124951.0
,,,530.611.223.439,214.043.694.440,530611223439.0,214043694440.0
