row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số đầu năm > Dự phòng
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,69.000.000.000,79.859.455.076,-,69.000.000.000,77.793.499.676,-,69000000000.0,79859455076.0,,69000000000.0,77793499676.0,
Công ty cổ phần Bắt động sản Quảng Phú (i),Công ty cổ phần Bắt động sản Quảng Phú (i),Công ty cổ phần Bắt động sản Quảng Phú (i),-,-,-,1.000.000.000,1.000.000.000,-,,,,1000000000.0,1000000000.0,
Tổng Công ty Thăng Long - CTCP (ii),Tổng Công ty Thăng Long - CTCP (ii),Tổng Công ty Thăng Long - CTCP (ii),-,-,-,239.567.505.000,251.315.230.489,-,,,,239567505000.0,251315230489.0,
Công ty TNHH NVT Holdings,Công ty TNHH NVT Holdings,Công ty TNHH NVT Holdings,257.400.000.000,257.400.000.000,-,-,-,-,257400000000.0,257400000000.0,,,,
Cộng,Cộng,Cộng,326.400.000.000,337.259.455.076,-,309.567.505.000,330.108.730.165,-,326400000000.0,337259455076.0,,309567505000.0,330108730165.0,
2.4 Đầu tư góp vốn vào đơn vị khác,2.4 Đầu tư góp vốn vào đơn vị khác,2.4 Đầu tư góp vốn vào đơn vị khác,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
2.4 Đầu tư góp vốn vào đơn vị khác,2.4 Đầu tư góp vốn vào đơn vị khác,2.4 Đầu tư góp vốn vào đơn vị khác,Giá gốc,Giá trị hợp lý (*),Dự phòng,Giá gốc,Giá trị hợp lý (*),Dự phòng,,,,,,
Công ty cổ phần COTABIG,2.4 Đầu tư góp vốn vào đơn vị khác > Công ty cổ phần COTABIG,Công ty cổ phần COTABIG,300.000.000,,-,300.000.000,,-,300000000.0,,,300000000.0,,
Công ty cổ phần Bắt động sản Quảng Phú (i),2.4 Đầu tư góp vốn vào đơn vị khác > Công ty cổ phần Bắt động sản Quảng Phú (i),Công ty cổ phần Bắt động sản Quảng Phú (i),1.000.000.000,,-,-,,-,1000000000.0,,,,,
Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,2.4 Đầu tư góp vốn vào đơn vị khác > Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,4.500.000.000,,-,4.500.000.000,,-,4500000000.0,,,4500000000.0,,
Công ty TNHH Môi trường Tasco Cù Chi,2.4 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH Môi trường Tasco Cù Chi,Công ty TNHH Môi trường Tasco Cù Chi,18.000.000.000,,-,18.000.000.000,,-,18000000000.0,,,18000000000.0,,
Cộng,2.4 Đầu tư góp vốn vào đơn vị khác > Cộng,Cộng,23.800.000.000,,-,22.800.000.000,,-,23800000000.0,,,22800000000.0,,
