row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng
Trái phiếu,Trái phiếu,Trái phiếu,360.454.500.000,(*),-,-,-,-,360454500000.0,,,,,
Trái phiếu doanh nghiệp 1 (1.000.000 TP),Trái phiếu doanh nghiệp 1 (1.000.000 TP),Trái phiếu doanh nghiệp 1 (1.000.000 TP),105.933.000.000,,-,-,-,-,105933000000.0,,,,,
Trái phiếu doanh nghiệp 2 (1.500.000 TP),Trái phiếu doanh nghiệp 2 (1.500.000 TP),Trái phiếu doanh nghiệp 2 (1.500.000 TP),153.403.500.000,,-,-,-,-,153403500000.0,,,,,
Trái phiếu doanh nghiệp 3 (1.000.000 TP),Trái phiếu doanh nghiệp 3 (1.000.000 TP),Trái phiếu doanh nghiệp 3 (1.000.000 TP),101.118.000.000,,-,-,-,-,101118000000.0,,,,,
Cộng,Cộng,Cộng,360.454.500.000,,-,-,-,-,360454500000.0,,,,,
"(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi sổ.(i): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 6 năm, lãi suất thả nổi (Hiện tại là 9,5%).(ii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất cố định 10,5%/năm.(iii): Trái phiếu doanh nghiệp có mệnh giá 100.000 VND/trái phiếu, kỳ hạn 3 năm, lãi suất thả nổi.Các Trái phiếu này đã được cam kết mua lại bởi Tổ chức bảo lãnh phát hành.",,,,,,
2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Tiền gửi có kỳ hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,190.210.000.000,190.210.000.000,-,9.889.607.184,9.889.607.184,-,190210000000.0,190210000000.0,,9889607184.0,9889607184.0,
