row_label_raw,row_label_full,Phải trả khác là bên thứ ba,862.882.214.510,775.216.362.097,numeric__862.882.214.510,numeric__775.216.362.097
Phải trả đối tác theo hợp đồng hợp tác kinh doanh,Phải trả đối tác theo hợp đồng hợp tác kinh doanh,Phải trả đối tác theo hợp đồng hợp tác kinh doanh,410.256.249.073,398.382.747.984,410256249073.0,398382747984.0
"Phải trả, phải nộp khác","Phải trả, phải nộp khác","Phải trả, phải nộp khác",452.625.965.437,376.833.614.113,452625965437.0,376833614113.0
Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,-,-,,
