row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,429.654.693.132,429.654.693.132,308.518.866.356,308.518.866.356,429654693132.0,429654693132.0,308518866356.0,308518866356.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,84.254.116.786,84.254.116.786,46.054.317.084,46.054.317.084,84254116786.0,84254116786.0,46054317084.0,46054317084.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,277.923.829.363,277.923.829.363,245.891.648.131,245.891.648.131,277923829363.0,277923829363.0,245891648131.0,245891648131.0
Công ty Cổ phần Công nghệ - ViễnThông ELCOM,Công ty Cổ phần Công nghệ - ViễnThông ELCOM,Công ty Cổ phần Công nghệ - ViễnThông ELCOM,51.063.715.175,51.063.715.175,53.663.715.175,53.663.715.175,51063715175.0,51063715175.0,53663715175.0,53663715175.0
Công ty cổ phần công nghệ Tiên Phong,Công ty cổ phần công nghệ Tiên Phong,Công ty cổ phần công nghệ Tiên Phong,54.474.512.852,54.474.512.852,66.130.390.052,66.130.390.052,54474512852.0,54474512852.0,66130390052.0,66130390052.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,172.385.601.336,172.385.601.336,126.097.542.904,126.097.542.904,172385601336.0,172385601336.0,126097542904.0,126097542904.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,67.476.746.983,67.476.746.983,16.572.901.141,16.572.901.141,67476746983.0,67476746983.0,16572901141.0,16572901141.0
Công ty TNHH Giải pháp thể vàng,Công ty TNHH Giải pháp thể vàng,Công ty TNHH Giải pháp thể vàng,46.948.655.000,46.948.655.000,5.343.567.000,5.343.567.000,46948655000.0,46948655000.0,5343567000.0,5343567000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,20.528.091.983,20.528.091.983,11.229.334.141,11.229.334.141,20528091983.0,20528091983.0,11229334141.0,11229334141.0
Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,583.168.000,583.168.000,108.773.523.496,108.773.523.496,583168000.0,583168000.0,108773523496.0,108773523496.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,-,-,13.051.534.261,13.051.534.261,,,13051534261.0,13051534261.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,-,-,83.167.077.235,83.167.077.235,,,83167077235.0,83167077235.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,583.168.000,583.168.000,12.554.912.000,12.554.912.000,583168000.0,583168000.0,12554912000.0,12554912000.0
(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,430.237.861.132,430.237.861.132,417.292.389.852,417.292.389.852,430237861132.0,430237861132.0,417292389852.0,417292389852.0
