row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng bổ sung trong năm > Hoàn nhập dự phòng trong năm,Năm nay > 107.324.162.056 > 24.229.094.009 > -,Năm trước > 102.468.217.550 > 4.855.944.506 > -,numeric__Năm nay > 107.324.162.056 > 24.229.094.009 > -,numeric__Năm trước > 102.468.217.550 > 4.855.944.506 > -
Tăng do hợp nhất,Tăng do hợp nhất,Tăng do hợp nhất,22.556.053.238,-,22556053238.0,
Xóa nợ bằng khoản dự phòng trong năm,Xóa nợ bằng khoản dự phòng trong năm,Xóa nợ bằng khoản dự phòng trong năm,-,-,,
Số dư cuối năm,Xóa nợ bằng khoản dự phòng trong năm > Số dư cuối năm,Số dư cuối năm,154.109.309.303,107.324.162.056,154109309303.0,107324162056.0
