row_label_raw,row_label_full,3. Báo cáo kết quả bộ phận,3. Báo cáo kết quả bộ phận_1,3. Báo cáo kết quả bộ phận_2,3. Báo cáo kết quả bộ phận_3,3. Báo cáo kết quả bộ phận_4,3. Báo cáo kết quả bộ phận_5,numeric__3. Báo cáo kết quả bộ phận_1,numeric__3. Báo cáo kết quả bộ phận_2,numeric__3. Báo cáo kết quả bộ phận_3,numeric__3. Báo cáo kết quả bộ phận_4,numeric__3. Báo cáo kết quả bộ phận_5
,,,Xây lắp và hoạt động khác,"Đầu tư, kinh doanh BĐS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí theo hình thức điện tử không dùng,Tổng,,,,,
DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,,,,,
Tổng doanh thu,DOANH THU > Tổng doanh thu,Tổng doanh thu,116.474.724.116,42.032.343.756,568.737.165.316,345.948.674.847,1.073.192.908.035,116474724116.0,42032343756.0,568737165316.0,345948674847.0,1073192908035.0
Giảm trừ doanh thu,DOANH THU > Giảm trừ doanh thu,Giảm trừ doanh thu,31.553.283,-,-,-,31.553.283,31553283.0,,,,31553283.0
Doanh thu thuần,DOANH THU > Doanh thu thuần,Doanh thu thuần,116.443.170.833,42.032.343.756,568.737.165.316,345.948.674.847,1.073.161.354.752,116443170833.0,42032343756.0,568737165316.0,345948674847.0,1073161354752.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,298.975.830.755,(41.394.807.688),65.176.410.154,(131.774.885.583),190.982.547.638,298975830755.0,-41394807688.0,65176410154.0,-131774885583.0,190982547638.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,39.603.121.971,-,6.706.018.377,827.884.982,47.137.025.330,39603121971.0,,6706018377.0,827884982.0,47137025330.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,259.372.708.784,(41.394.807.688),58.470.391.777,(132.602.770.565),143.845.522.308,259372708784.0,-41394807688.0,58470391777.0,-132602770565.0,143845522308.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,1.171.631.792,-,4.626.253.765.917,1.178.112.219.570,5.805.537.617.279,1171631792.0,,4626253765917.0,1178112219570.0,5805537617279.0
Tài sản cố định không thể phân bổ,TÀI SẢN > Tài sản cố định không thể phân bổ,Tài sản cố định không thể phân bổ,,,,,13.543.433.789,,,,,13543433789.0
Tài sản dở dang dài hạn,TÀI SẢN > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,191.487.970.279,708.896.042.406,17.928.821.876,8.360.806.637,926.673.641.198,191487970279.0,708896042406.0,17928821876.0,8360806637.0,926673641198.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,1.369.486.770.315,85.414.130.970,73.809.824.215,121.744.243.966,1.650.454.969.466,1369486770315.0,85414130970.0,73809824215.0,121744243966.0,1650454969466.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,5.588.652.447,20.738.151.369,-,71.952.522.312,98.279.326.128,5588652447.0,20738151369.0,,71952522312.0,98279326128.0
"Tài sản ngắn hạn, dài hạn khác","TÀI SẢN > Tài sản ngắn hạn, dài hạn khác","Tài sản ngắn hạn, dài hạn khác",928.360.782.196,-,1.083.563.723.364,938.150.587.638,2.950.075.093.198,928360782196.0,,1083563723364.0,938150587638.0,2950075093198.0
Tài sản không thể phân bổ,TÀI SẢN > Tài sản không thể phân bổ,Tài sản không thể phân bổ,,,,,187.807.839.995,,,,,187807839995.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,2.496.095.807.029,815.048.324.745,5.801.556.135.372,2.318.320.380.123,11.632.371.921.053,2496095807029.0,815048324745.0,5801556135372.0,2318320380123.0,11632371921053.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Các khoản phải trả,NỘ PHẢI TRẢ > Các khoản phải trả,Các khoản phải trả,322.752.756.702,583.730.401.714,407.934.282.565,1.474.317.545.209,2.788.734.986.190,322752756702.0,583730401714.0,407934282565.0,1474317545209.0,2788734986190.0
Phải trả tiền vay,NỘ PHẢI TRẢ > Phải trả tiền vay,Phải trả tiền vay,522.500.000,-,4.026.961.614.260,806.657.582.106,4.834.141.696.366,522500000.0,,4026961614260.0,806657582106.0,4834141696366.0
Nợ phải trả không phân bổ,NỘ PHẢI TRẢ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,136.028.172.138,,,,,136028172138.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,323.275.256.702,583.730.401.714,4.434.895.896.825,2.280.975.127.315,7.758.904.854.694,323275256702.0,583730401714.0,4434895896825.0,2280975127315.0,7758904854694.0
