row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.686.319.650.000,84.824.223.592,122.247.635.329,(9.247.297.497),(13.222.066.246),2.870.922.145.178,2686319650000.0,84824223592.0,122247635329.0,-9247297497.0,-13222066246.0,2870922145178.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,800.000.000.000,-,-,-,-,800.000.000.000,800000000000.0,,,,,800000000000.0
Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,61.583.796.257,(17.430.783.747),44.153.012.510,,,,61583796257.0,-17430783747.0,44153012510.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,3.341.597.326,-,3.341.597.326,,,,3341597326.0,,3341597326.0
Giảm khác,Giảm khác,Giảm khác,-,(282.640.197),-,-,(505.470.340),(788.110.537),,-282640197.0,,,-505470340.0,-788110537.0
Số dư cuối năm trước/đầu năm nay,Số dư cuối năm trước/đầu năm nay,Số dư cuối năm trước/đầu năm nay,3.486.319.650.000,84.541.583.395,122.247.635.329,55.678.096.086,(31.158.320.333),3.717.628.644.477,3486319650000.0,84541583395.0,122247635329.0,55678096086.0,-31158320333.0,3717628644477.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,144.565.241.241,(719.718.933),143.845.522.308,,,,144565241241.0,-719718933.0,143845522308.0
Tăng do thoái vốn tại Công ty con,Tăng vốn trong năm nay > Tăng do thoái vốn tại Công ty con,Tăng do thoái vốn tại Công ty con,-,-,-,-,13.074.286.139,13.074.286.139,,,,,13074286139.0,13074286139.0
Tăng khác,Tăng vốn trong năm nay > Tăng khác,Tăng khác,-,-,-,166.531.839,4.242.026.888,4.408.558.727,,,,166531839.0,4242026888.0,4408558727.0
Phân phối các quỹ (*),Tăng vốn trong năm nay > Phân phối các quỹ (*),Phân phối các quỹ (*),-,-,3.079.200.000,(3.695.100.000),-,(615.900.000),,,3079200000.0,-3695100000.0,,-615900000.0
Giảm khác,Tăng vốn trong năm nay > Giảm khác,Giảm khác,-,(395.138.599),-,(4.312.374.854),(166.531.839),(4.874.045.292),,-395138599.0,,-4312374854.0,-166531839.0,-4874045292.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,3.486.319.650.000,84.146.444.796,125.326.835.329,192.402.394.312,(14.728.258.078),3.873.467.066.359,3486319650000.0,84146444796.0,125326835329.0,192402394312.0,-14728258078.0,3873467066359.0
