row_label_raw,row_label_full,"11. Tăng, giảm tài sản cố định hữu hình","11. Tăng, giảm tài sản cố định hữu hình_1","11. Tăng, giảm tài sản cố định hữu hình_2","11. Tăng, giảm tài sản cố định hữu hình_3","11. Tăng, giảm tài sản cố định hữu hình_4","11. Tăng, giảm tài sản cố định hữu hình_5","11. Tăng, giảm tài sản cố định hữu hình_6","numeric__11. Tăng, giảm tài sản cố định hữu hình_1","numeric__11. Tăng, giảm tài sản cố định hữu hình_2","numeric__11. Tăng, giảm tài sản cố định hữu hình_3","numeric__11. Tăng, giảm tài sản cố định hữu hình_4","numeric__11. Tăng, giảm tài sản cố định hữu hình_5","numeric__11. Tăng, giảm tài sản cố định hữu hình_6"
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Cộng,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,24.047.504.412,126.746.636.227,28.194.204.020,10.097.965.148,7.285.017.738.856,7.474.104.048.663,24047504412.0,126746636227.0,28194204020.0,10097965148.0,7285017738856.0,7474104048663.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,82.727.273,1.137.875.818,38.749.000,6.262.945.723,7.522.297.814,,82727273.0,1137875818.0,38749000.0,6262945723.0,7522297814.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,56.466.300,12.254.343.324,-,-,173.019.864.073,185.330.673.697,56466300.0,12254343324.0,,,173019864073.0,185330673697.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,771.290.909,1.371.087.792,-,2.142.378.701,,,771290909.0,1371087792.0,,2142378701.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.219.000.000),(72.727.273),-,(4.291.727.273),,,-4219000000.0,-72727273.0,,-4291727273.0
Chuyển đổi mục đích sử dụng (*),NGUYÊN GIÁ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),(13.689.786.863),-,-,-,-,(13.689.786.863),-13689786863.0,,,,,-13689786863.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(8.625.736.599),(122.437.581.218),(16.425.716.094),(465.941.300),-,(147.954.975.211),-8625736599.0,-122437581218.0,-16425716094.0,-465941300.0,,-147954975211.0
Tăng/Giảm khác,NGUYÊN GIÁ > Tăng/Giảm khác,Tăng/Giảm khác,-,(288.120.332),-,(1.993.246.340),(15.893.160.096),(18.174.526.768),,-288120332.0,,-1993246340.0,-15893160096.0,-18174526768.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,1.788.447.250,16.358.005.274,9.458.654.653,8.975.887.027,7.448.407.388.556,7.484.988.382.760,1788447250.0,16358005274.0,9458654653.0,8975887027.0,7448407388556.0,7484988382760.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,11.144.669.676,41.158.162.319,12.306.269.674,7.853.539.213,1.519.477.411.378,1.591.940.052.260,11144669676.0,41158162319.0,12306269674.0,7853539213.0,1519477411378.0,1591940052260.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,440.320.131,3.129.186.943,606.212.959,342.582.050,272.035.740.316,276.554.042.399,440320131.0,3129186943.0,606212959.0,342582050.0,272035740316.0,276554042399.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,771.290.909,1.371.087.792,-,2.142.378.701,,,771290909.0,1371087792.0,,2142378701.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.219.000.000),(72.727.273),-,(4.291.727.273),,,-4219000000.0,-72727273.0,,-4291727273.0
Chuyển đổi mục đích sử dụng (*),GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),(6.844.580.579),-,-,-,-,(6.844.580.579),-6844580579.0,,,,,-6844580579.0
Giảm do thoái vốn tại Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(2.883.532.636),(38.066.170.562),(3.101.787.399),(262.436.864),-,(44.313.927.461),-2883532636.0,-38066170562.0,-3101787399.0,-262436864.0,,-44313927461.0
Tăng/Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/Giảm khác,Tăng/Giảm khác,(120.190.118),335.151.374,-,(1.993.246.340),(1.242.664.223),(3.020.949.307),-120190118.0,335151374.0,,-1993246340.0,-1242664223.0,-3020949307.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.736.686.474,6.556.330.074,6.362.986.143,7.238.798.578,1.790.270.487.471,1.812.165.288.740,1736686474.0,6556330074.0,6362986143.0,7238798578.0,1790270487471.0,1812165288740.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,12.902.834.736,85.588.473.908,15.887.934.346,2.244.425.935,5.765.540.327.478,5.882.163.996.403,12902834736.0,85588473908.0,15887934346.0,2244425935.0,5765540327478.0,5882163996403.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,51.760.776,9.801.675.200,3.095.668.510,1.737.088.449,5.658.136.901.085,5.672.823.094.020,51760776.0,9801675200.0,3095668510.0,1737088449.0,5658136901085.0,5672823094020.0
