row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,7.758.904.854.694,7.007.867.084.477,,300.0,,7758904854694.0,7007867084477.0
I.,I.,I.,Nợ ngắn hạn,310,,2.208.582.904.728,1.264.240.430.081,,310.0,,2208582904728.0,1264240430081.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.14,430.237.861.132,417.292.389.852,,311.0,,430237861132.0,417292389852.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.15.1,121.781.062.837,46.266.343.475,,312.0,,121781062837.0,46266343475.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.16.1,108.846.492.229,27.742.154.241,,313.0,,108846492229.0,27742154241.0
4.,4.,4.,Phải trả người lao động,314,,26.608.623.966,17.008.347.342,,314.0,,26608623966.0,17008347342.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.17,69.918.537.772,103.779.457.832,,315.0,,69918537772.0,103779457832.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,1.101.388.297,-,,318.0,,1101388297.0,
7.,7.,7.,Phải trả ngắn hạn khác,319,V.18.1,1.142.864.942.247,320.378.326.168,,319.0,,1142864942247.0,320378326168.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,V.19.1,280.324.273.649,309.486.232.075,,320.0,,280324273649.0,309486232075.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,,4.096.643.503,-,,321.0,,4096643503.0,
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,22.803.079.096,22.287.179.096,,322.0,,22803079096.0,22287179096.0
II.,II.,II.,Nợ dài hạn,330,,5.550.321.949.966,5.743.626.654.396,,330.0,,5550321949966.0,5743626654396.0
1.,1.,1.,Người mua trả tiền trước dài hạn,332,V.15.2,94.565.298.415,-,,332.0,,94565298415.0,
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,,596.268.865,967.010.108,,336.0,,596268865.0,967010108.0
3.,3.,3.,Phải trả dài hạn khác,337,V.18.2,862.882.214.510,775.216.362.097,,337.0,,862882214510.0,775216362097.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,V.19.2,4.553.817.422.717,4.928.982.536.732,,338.0,,4553817422717.0,4928982536732.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,,38.460.745.459,38.460.745.459,,342.0,,38460745459.0,38460745459.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,3.873.467.066.359,3.717.628.644.477,,400.0,,3873467066359.0,3717628644477.0
I.,I.,I.,Vốn chủ sở hữu,410,V.20,3.873.467.066.359,3.717.628.644.477,,410.0,,3873467066359.0,3717628644477.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.486.319.650.000,3.486.319.650.000,,411.0,,3486319650000.0,3486319650000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.486.319.650.000,3.486.319.650.000,,,,3486319650000.0,3486319650000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,,84.146.444.796,84.541.583.395,,412.0,,84146444796.0,84541583395.0
3.,- > 3.,3.,Quỹ đầu tư phát triển,418,,125.326.835.329,122.247.635.329,,418.0,,125326835329.0,122247635329.0
4.,- > 4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,192.402.394.312,55.678.096.086,,421.0,,192402394312.0,55678096086.0
-,- > -,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,47.837.153.071,(5.905.700.171),,,,47837153071.0,-5905700171.0
-,- > -,-,LNST chưa phân phối kỳ này,421b,,144.565.241.241,61.583.796.257,,,,144565241241.0,61583796257.0
5.,- > 5.,5.,Lợi ích cổ đông không kiểm soát,429,,(14.728.258.078),(31.158.320.333),,429.0,,-14728258078.0,-31158320333.0
,,,TỔNG CỘNG NGUỒN VỐN,440,,11.632.371.921.053,10.725.495.728.954,,440.0,,11632371921053.0,10725495728954.0
