row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Ông Đình Đức Tùng,Ông Đình Đức Tùng,Ông Đình Đức Tùng,Thành viên độc lập HĐQT (Bổ nhiệm ngày 29/04/2022),
Ông Nguyễn Viết Tân,Ông Nguyễn Viết Tân,Ông Nguyễn Viết Tân,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Bà Trần Hằng Thu,Bà Trần Hằng Thu,Bà Trần Hằng Thu,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Bà Phạm Thị Chi,Bà Phạm Thị Chi,Bà Phạm Thị Chi,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Bà Trần Hải Yến,Bà Trần Hải Yến,Bà Trần Hải Yến,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Ông Phạm Đức Minh,Ông Phạm Đức Minh,Ông Phạm Đức Minh,Phó Tổng Giám đốc (Bổ nhiệm ngày 01/01/2022),
Bà Trần Minh Trang,Bà Trần Minh Trang,Bà Trần Minh Trang,Trường ban Kiểm soát,
Bà Nguyễn Thị Hải Yến,Bà Nguyễn Thị Hải Yến,Bà Nguyễn Thị Hải Yến,Thành viên BKS,
Bà Hoàng Thị Soa,Bà Hoàng Thị Soa,Bà Hoàng Thị Soa,Thành viên BKS,
Bà Phạm Thị Nhài,Bà Phạm Thị Nhài,Bà Phạm Thị Nhài,Người liên quan của Thành viên HĐQT đến ngày 29/04/2022,
