row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,3.139.808.104.404,2.200.842.731.503,,100.0,,3139808104404.0,2200842731503.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,953.430.125.623,641.553.582.230,,110.0,,953430125623.0,641553582230.0
1.,1.,1.,Tiền,111,,936.427.741.777,404.156.054.780,,111.0,,936427741777.0,404156054780.0
2.,2.,2.,Các khoản tương đương tiền,112,,17.002.383.846,237.397.527.450,,112.0,,17002383846.0,237397527450.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,550.664.500.000,73.389.607.184,,120.0,,550664500000.0,73389607184.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2.1,360.454.500.000,-,,121.0,,360454500000.0,
2.,2.,2.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2.2,190.210.000.000,73.389.607.184,,123.0,,190210000000.0,73389607184.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.467.063.807.714,1.321.513.798.144,,130.0,,1467063807714.0,1321513798144.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,456.794.507.342,444.970.658.998,,131.0,,456794507342.0,444970658998.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,57.785.088.176,49.998.252.918,,132.0,,57785088176.0,49998252918.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,V.5,15.299.000.000,33.349.285.000,,135.0,,15299000000.0,33349285000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,V.6.1,1.088.144.521.499,897.369.763.284,,136.0,,1088144521499.0,897369763284.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(150.959.309.303),(104.174.162.056),,137.0,,-150959309303.0,-104174162056.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,98.279.326.128,78.003.107.240,,140.0,,98279326128.0,78003107240.0
1.,1.,1.,Hàng tồn kho,141,,98.279.326.128,78.003.107.240,,141.0,,98279326128.0,78003107240.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,70.370.344.939,86.382.636.705,,150.0,,70370344939.0,86382636705.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9.1,4.618.576.778,1.022.853.597,,151.0,,4618576778.0,1022853597.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,64.835.925.722,84.148.310.904,,152.0,,64835925722.0,84148310904.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.16.2,915.842.439,1.211.472.204,,153.0,,915842439.0,1211472204.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,8.492.563.816.649,8.524.652.997.451,,200.0,,8492563816649.0,8524652997451.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,183.391.161.752,126.673.368.211,,210.0,,183391161752.0,126673368211.0
1.,1.,1.,Phải thu dài hạn khác,216,V.6.2,186.541.161.752,129.823.368.211,,216.0,,186541161752.0,129823368211.0
2.,2.,2.,Dự phòng phải thu dài hạn khó đòi,219,V.7,(3.150.000.000),(3.150.000.000),,219.0,,-3150000000.0,-3150000000.0
II.,II.,II.,Tài sản cố định,220,,5.819.081.051.068,6.044.529.708.714,,220.0,,5819081051068.0,6044529708714.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,5.672.823.094.020,5.882.163.996.403,,221.0,,5672823094020.0,5882163996403.0
,,,Nguyên giá,222,,7.484.988.382.760,7.474.104.048.663,,222.0,,7484988382760.0,7474104048663.0
,,,Giá trị hao mòn lũy kế,223,,(1.812.165.288.740),(1.591.940.052.260),,223.0,,-1812165288740.0,-1591940052260.0
2.,2.,2.,Tài sản cố định vô hình,227,V.10,146.257.957.048,162.365.712.311,,227.0,,146257957048.0,162365712311.0
,,,Nguyên giá,228,,197.318.411.065,201.574.743.864,,228.0,,197318411065.0,201574743864.0
,,,Giá trị hao mòn lũy kế,229,,(51.060.454.017),(39.209.031.553),,229.0,,-51060454017.0,-39209031553.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,926.673.641.198,1.060.021.226.369,,240.0,,926673641198.0,1060021226369.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.12.1,610.782.218.159,691.597.917.895,,241.0,,610782218159.0,691597917895.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,V.12.2,315.891.423.039,368.423.308.474,,242.0,,315891423039.0,368423308474.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,361.059.455.076,352.908.730.165,,250.0,,361059455076.0,352908730165.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,V.2.3,337.259.455.076,330.108.730.165,,252.0,,337259455076.0,330108730165.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,V.2.4,23.800.000.000,22.800.000.000,,253.0,,23800000000.0,22800000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,1.202.358.507.555,940.519.963.992,,260.0,,1202358507555.0,940519963992.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.9.2,1.105.171.599.237,940.519.963.992,,261.0,,1105171599237.0,940519963992.0
2.,2.,2.,Lợi thế thương mại,269,V.13,97.186.908.318,-,,269.0,,97186908318.0,
,,,TỔNG CỘNG TÀI SẢN,270,,11.632.371.921.053,10.725.495.728.954,,270.0,,11632371921053.0,10725495728954.0
