row_label_raw,row_label_full,Chi tiêu,Mã số,Năm 2020 (đã trìnhbảy trước đây),Điều chỉnh hồi tố,Năm 2020 (trìnhbảy lại),numeric__Mã số,numeric__Năm 2020 (đã trìnhbảy trước đây),numeric__Điều chỉnh hồi tố,numeric__Năm 2020 (trìnhbảy lại)
Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,,,,
Chi phí quản lý doanh nghiệp,Báo cáo kết quả kinh doanh hợp nhất > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,121.014.253.343,89.903.800.000,210.918.053.343,26.0,121014253343.0,89903800000.0,210918053343.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,(252.358.356.743),(89.903.800.000),(342.262.156.743),30.0,-252358356743.0,-89903800000.0,-342262156743.0
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả kinh doanh hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,(247.023.496.833),(89.903.800.000),(336.927.296.833),50.0,-247023496833.0,-89903800000.0,-336927296833.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,(243.442.762.893),(89.903.800.000),(333.346.562.893),60.0,-243442762893.0,-89903800000.0,-333346562893.0
Lợi nhuận sau thuế của công ty mẹ,Báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,(235.061.626.585),(89.873.832.067),(324.935.458.652),61.0,-235061626585.0,-89873832067.0,-324935458652.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,(8.381.136.308),(29.967.933),(8.411.104.241),62.0,-8381136308.0,-29967933.0,-8411104241.0
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,"(875,03)","(334,56)","(1.209,59)",70.0,-875.03,-334.56,-1209.59
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,,,,
Lợi nhuận trước thuế,Báo cáo lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,(247.023.496.833),(89.903.800.000),(336.927.296.833),1.0,-247023496833.0,-89903800000.0,-336927296833.0
Các khoản dự phòng,Báo cáo lưu chuyển tiền tệ hợp nhất > Các khoản dự phòng,Các khoản dự phòng,03,(22.510.281.092),89.903.800.000,67.393.518.908,3.0,-22510281092.0,89903800000.0,67393518908.0
