row_label_raw,row_label_full,col_0,Phần mềm máy tính,Cộng,numeric__Phần mềm máy tính,numeric__Cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,201.574.743.864,201.574.743.864,201574743864.0,201574743864.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,359.000.000,359.000.000,359000000.0,359000000.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,826.329.838,826.329.838,826329838.0,826329838.0
Giảm do thoái vốn tại công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(4.851.859.000),(4.851.859.000),-4851859000.0,-4851859000.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(589.803.637),(589.803.637),-589803637.0,-589803637.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,197.318.411.065,197.318.411.065,197318411065.0,197318411065.0
HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,,
Số đầu năm,HAO MÒN LUỸ KẾ > Số đầu năm,Số đầu năm,39.209.031.553,39.209.031.553,39209031553.0,39209031553.0
Khấu hao trong năm,HAO MÒN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,12.966.876.760,12.966.876.760,12966876760.0,12966876760.0
Tăng do hợp nhất kinh doanh,HAO MÒN LUỸ KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,826.329.838,826.329.838,826329838.0,826329838.0
Giảm do thoái vốn tại công ty con,HAO MÒN LUỸ KẾ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(1.351.980.497),(1.351.980.497),-1351980497.0,-1351980497.0
Giảm khác,HAO MÒN LUỸ KẾ > Giảm khác,Giảm khác,(589.803.637),(589.803.637),-589803637.0,-589803637.0
Số cuối năm,HAO MÒN LUỸ KẾ > Số cuối năm,Số cuối năm,51.060.454.017,51.060.454.017,51060454017.0,51060454017.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,
Số đầu năm,GIÁ TRỊ CÔN LẠI > Số đầu năm,Số đầu năm,162.365.712.311,162.365.712.311,162365712311.0,162365712311.0
Số cuối năm,GIÁ TRỊ CÔN LẠI > Số cuối năm,Số cuối năm,146.257.957.048,146.257.957.048,146257957048.0,146257957048.0
