row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 491.301.100,Số phải thu trong năm,Số đã thu/cán trừ trong năm > -,Số cuối năm > 491.301.100,numeric__Số đầu năm > 491.301.100,numeric__Số phải thu trong năm,numeric__Số đã thu/cán trừ trong năm > -,numeric__Số cuối năm > 491.301.100
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,711.804.276,-,293.812.510,417.991.766,711804276.0,,293812510.0,417991766.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.366.828,-,3.054.559,5.312.269,8366828.0,,3054559.0,5312269.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,1.237.304,-,1.237.304,,1237304.0,,1237304.0
Cộng,Cộng,Cộng,1.211.472.204,1.237.304,296.867.069,915.842.439,1211472204.0,1237304.0,296867069.0,915842439.0
