row_label_raw,row_label_full,Chỉ tiêu,Mã số,Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2020 > Ngày 31/12/2020 (đã trình bày trước đây),Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2020 > Điều chỉnh hồi tố,Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2020 > Ngày 31/12/2020 (trình bày lại),Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2021 > Ngày 31/12/2021 (đã trình bày trước đây),Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2021 > Điều chỉnh hồi tố,Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2021 > Ngày 31/12/2021 (trình bày lại),numeric__Mã số,numeric__Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2020 > Ngày 31/12/2020 (đã trình bày trước đây),numeric__Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2020 > Điều chỉnh hồi tố,numeric__Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2020 > Ngày 31/12/2020 (trình bày lại),numeric__Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2021 > Ngày 31/12/2021 (đã trình bày trước đây),numeric__Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2021 > Điều chỉnh hồi tố,numeric__Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2021 > Ngày 31/12/2021 (trình bày lại)
Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất,,,,,,,
Tài sản ngắn hạn,Bảng cân đối kế toàn hợp nhất > Tài sản ngắn hạn,Tài sản ngắn hạn,100,1.462.839.215.580,(89.903.800.000),1.372.935.415.580,2.290.746.531.503,(89.903.800.000),2.200.842.731.503,100.0,1462839215580.0,-89903800000.0,1372935415580.0,2290746531503.0,-89903800000.0,2200842731503.0
Các khoản phải thu ngắn hạn,Bảng cân đối kế toàn hợp nhất > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,975.469.626.587,(89.903.800.000),885.565.826.587,1.411.417.598.144,(89.903.800.000),1.321.513.798.144,130.0,975469626587.0,-89903800000.0,885565826587.0,1411417598144.0,-89903800000.0,1321513798144.0
Dự phòng nợ phải thu ngắn hạn khó đòi,Bảng cân đối kế toàn hợp nhất > Dự phòng nợ phải thu ngắn hạn khó đòi,Dự phòng nợ phải thu ngắn hạn khó đòi,137,(9.414.417.550),(89.903.800.000),(99.318.217.550),(14.270.362.056),(89.903.800.000),(104.174.162.056),137.0,-9414417550.0,-89903800000.0,-99318217550.0,-14270362056.0,-89903800000.0,-104174162056.0
Tài sản cố định hữu hình,Bảng cân đối kế toàn hợp nhất > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,6.104.093.281.543,-,6.104.093.281.543,5.920.417.705.047,(38.253.708.644),5.882.163.996.403,221.0,6104093281543.0,,6104093281543.0,5920417705047.0,-38253708644.0,5882163996403.0
Nguyên giá,Bảng cân đối kế toàn hợp nhất > Nguyên giá,Nguyên giá,222,7.477.102.910.079,-,7.477.102.910.079,7.518.239.360.634,(44.135.311.971),7.474.104.048.663,222.0,7477102910079.0,,7477102910079.0,7518239360634.0,-44135311971.0,7474104048663.0
Giá trị hao mòn lũy kế,Bảng cân đối kế toàn hợp nhất > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,(1.373.009.628.536),-,(1.373.009.628.536),(1.597.821.655.587),5.881.603.327,(1.591.940.052.260),223.0,-1373009628536.0,,-1373009628536.0,-1597821655587.0,5881603327.0,-1591940052260.0
Tài sản cố định vô hình,Bảng cân đối kế toàn hợp nhất > Tài sản cố định vô hình,Tài sản cố định vô hình,227,134.427.428.143,-,134.427.428.143,124.112.003.667,38.253.708.644,162.365.712.311,227.0,134427428143.0,,134427428143.0,124112003667.0,38253708644.0,162365712311.0
Nguyên giá,Bảng cân đối kế toàn hợp nhất > Nguyên giá,Nguyên giá,228,157.561.710.462,-,157.561.710.462,157.439.431.893,44.135.311.971,201.574.743.864,228.0,157561710462.0,,157561710462.0,157439431893.0,44135311971.0,201574743864.0
Giá trị hao mòn lũy kế,Bảng cân đối kế toàn hợp nhất > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,(23.134.282.319),-,(23.134.282.319),(33.327.428.226),(5.881.603.327),(39.209.031.553),229.0,-23134282319.0,,-23134282319.0,-33327428226.0,-5881603327.0,-39209031553.0
Tổng cộng tài sản,Bảng cân đối kế toàn hợp nhất > Tổng cộng tài sản,Tổng cộng tài sản,270,10.158.470.601.572,(89.903.800.000),10.068.566.801.572,10.815.399.528.954,(89.903.800.000),10.725.495.728.954,270.0,10158470601572.0,-89903800000.0,10068566801572.0,10815399528954.0,-89903800000.0,10725495728954.0
Nợ ngắn hạn,Bảng cân đối kế toàn hợp nhất > Nợ ngắn hạn,Nợ ngắn hạn,310,1.194.862.964.771,-,1.194.862.964.771,1.244.612.485.921,19.627.944.160,1.264.240.430.081,310.0,1194862964771.0,,1194862964771.0,1244612485921.0,19627944160.0,1264240430081.0
Phải trả ngắn hạn khác,Bảng cân đối kế toàn hợp nhất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,362.737.071.284,-,362.737.071.284,508.505.337.564,(188.127.011.396),320.378.326.168,319.0,362737071284.0,,362737071284.0,508505337564.0,-188127011396.0,320378326168.0
Vay và nợ thuê tài chính ngắn hạn,Bảng cân đối kế toàn hợp nhất > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,97.778.930.894,-,97.778.930.894,101.731.276.519,207.754.955.556,309.486.232.075,320.0,97778930894.0,,97778930894.0,101731276519.0,207754955556.0,309486232075.0
Nợ dài hạn,Bảng cân đối kế toàn hợp nhất > Nợ dài hạn,Nợ dài hạn,330,6.002.781.691.622,-,6.002.781.691.622,5.763.254.598.556,(19.627.944.160),5.743.626.654.396,330.0,6002781691622.0,,6002781691622.0,5763254598556.0,-19627944160.0,5743626654396.0
Phải trả dài hạn khác,Bảng cân đối kế toàn hợp nhất > Phải trả dài hạn khác,Phải trả dài hạn khác,337,551.589.958.880,-,551.589.958.880,587.089.350.701,188.127.011.396,775.216.362.097,337.0,551589958880.0,,551589958880.0,587089350701.0,188127011396.0,775216362097.0
Vay và nợ thuê tài chính dài hạn,Bảng cân đối kế toàn hợp nhất > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,5.411.539.750.297,-,5.411.539.750.297,5.136.737.492.288,(207.754.955.556),4.928.982.536.732,338.0,5411539750297.0,,5411539750297.0,5136737492288.0,-207754955556.0,4928982536732.0
