row_label_raw,row_label_full,Vicco Saigon,Công ty trong cùng tập đoàn,Phí thuê văn phòng,4.129.407.487,1.601.079.464,numeric__Công ty trong cùng tập đoàn,numeric__Phí thuê văn phòng,numeric__4.129.407.487,numeric__1.601.079.464
Hà An,Hà An,Hà An,Công ty trong cùng tập đoàn,Dịch vụ khác,500.668,-,,,500668.0,
Ihouzz,Ihouzz,Ihouzz,Công ty con,Lãi phải trả,-,4.364.770.405,,,,4364770405.0
,,,,,4.129.908.155,5.965.849.869,,,4129908155.0,5965849869.0
