row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu (thừa)trong năm trước,Năm nay > - > 740.357.446,VNDNăm trước > 561.255.250 > (3.095.388.961),numeric__Năm nay > - > 740.357.446,numeric__VNDNăm trước > 561.255.250 > (3.095.388.961)
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(69.067.878),-,-69067878.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,671.289.568,(2.534.133.711),671289568.0,-2534133711.0
