row_label_raw,row_label_full,Bên liên quan > Bất động sản Tây Nam,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Góp vốn,Năm nay > -,Năm trước > 4.080.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Góp vốn,numeric__Năm nay > -,numeric__Năm trước > 4.080.000.000
Bất động sản Tulip,Bất động sản Tulip,Bất động sản Tulip,Công ty con,Doanh thu từ cho thuê văn phòng,-,347.500.000,,,,347500000.0
DXG,DXG,DXG,Công ty mẹ,Doanh thu môi giới,-,246.616.789,,,,246616789.0
Propcom,Propcom,Propcom,Công ty con,Phí dịch vụ môi giới,-,73.141.855,,,,73141855.0
Asahi,Asahi,Asahi,Công ty con,Phí quản lý,-,155.207.348,,,,155207348.0
,,,,Phí dịch vụ môi giới,-,64.993.500,,,,64993500.0
