row_label_raw,row_label_full,Ông Trần Thanh Tân,Chữ tịch,col_2,numeric__Chữ tịch,numeric__col_2
Ông Dương Văn Bắc,Ông Dương Văn Bắc,Ông Dương Văn Bắc,Thành viên,từ nhiệm ngày 23 tháng 5 năm 2023,,
Ông Phạm Anh Khôi,Ông Phạm Anh Khôi,Ông Phạm Anh Khôi,Thành viên,bổ nhiệm ngày 20 tháng 10 năm 2023,,
