row_label_raw,row_label_full,Hà An,Công ty trong cùng tập đoàn,Tạm hoàn ứng cho chủ đầu tư,2.054.879.750.566,2.446.640.760.655,numeric__Công ty trong cùng tập đoàn,numeric__Tạm hoàn ứng cho chủ đầu tư,numeric__2.054.879.750.566,numeric__2.446.640.760.655
Hà An,Hà An,Hà An,Công ty trong cùng tập đoàn,Ký quỹ môi giới,1.950.650.000.000,1.950.650.000.000,,,1950650000000.0,1950650000000.0
Hà An,Hà An,Hà An,Công ty trong cùng tập đoàn,Lãi cho vay,6.622.498.410,1.630.136.987,,,6622498410.0,1630136987.0
Charm & Cl,Charm & Cl,Charm & Cl,Công ty trong cùng tập đoàn,Ký quỹ môi giới,235.000.000.000,222.382.257.533,,,235000000000.0,222382257533.0
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Công ty trong cùng tập đoàn,Tạm hoàn ứng cho chủ đầu tư,76.432.457.606,-,,,76432457606.0,
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cổ tức,16.252.870.000,16.252.870.000,,,16252870000.0,16252870000.0
Đất Xanh Miền Tây,Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Cổ tức Góp vốn theo HDHTKD,9.988.304.094,9.988.304.094,,,9988304094.0,9988304094.0
Đất Xanh Miền Tây,Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Cổ tức Góp vốn theo HDHTKD,7.000.000.000,7.000.000.000,,,7000000000.0,7000000000.0
Regal Group,Regal Group,Regal Group,Công ty con,Cổ tức,9.900.000.000,9.900.000.000,,,9900000000.0,9900000000.0
Công nghệ BĐS,Công nghệ BĐS,Công nghệ BĐS,Công ty con,Cho mượn,6.000.000.000,6.000.000.000,,,6000000000.0,6000000000.0
Công nghệ BĐS,Công nghệ BĐS,Công nghệ BĐS,Công ty con,Lãi cho vay,469.027.778,469.027.778,,,469027778.0,469027778.0
DXG,DXG,DXG,Công ty mẹ,Chỉ hộ,2.480.489.982,2.480.489.982,,,2480489982.0,2480489982.0
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty liên kết,Góp vốn theo HDHTKD,1.015.472.100,45.379.472.100,,,1015472100.0,45379472100.0
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty liên kết,Lãi cho vay,406.103.300,-,,,406103300.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Hà Thuận Hùng,Phải thu dài hạn khác > Hà Thuận Hùng,Hà Thuận Hùng,Công ty trong cùng tập đoàn,Ký quỹ môi giới,31.114.000.000,-,,,31114000000.0,
Hội An,Phải thu dài hạn khác > Hội An,Hội An,Công ty trong cùng tập đoàn,Ký quỹ môi giới,38.150.000.000,-,,,38150000000.0,
,,,,,4.446.360.973.836,4.718.773.319.129,,,4446360973836.0,4718773319129.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Hà An,Phải thu về cho vay ngắn hạn > Hà An,Hà An,Công ty trong cùng tập đoàn,Cho vay,68.657.481.597,100.000.000.000,,,68657481597.0,100000000000.0
