row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối(lỗ lũy kế),VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối(lỗ lũy kế),numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.582.012.080.000,1.105.361.088.710,792.983.353.879,5.480.356.522.589,3582012080000.0,1105361088710.0,792983353879.0,5480356522589.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,648.329.150.000,-,(648.329.150.000),-,648329150000.0,,-648329150000.0,
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,300.882.540.000,(300.857.540.000),-,25.000.000,300882540000.0,-300857540000.0,,25000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,451.186.585.509,451.186.585.509,,,451186585509.0,451186585509.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(16.163.865.945),(16.163.865.945),,,-16163865945.0,-16163865945.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.531.223.770.000,804.503.548.710,579.676.923.443,5.915.404.242.153,4531223770000.0,804503548710.0,579676923443.0,5915404242153.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.531.223.770.000,804.503.548.710,579.676.923.443,5.915.404.242.153,4531223770000.0,804503548710.0,579676923443.0,5915404242153.0
Tăng vốn (*),Năm nay > Tăng vốn (*),Tăng vốn (*),1.209.807.470.000,(800.000.000.000),(409.807.470.000),-,1209807470000.0,-800000000000.0,-409807470000.0,
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(163.886.170.313),(163.886.170.313),,,-163886170313.0,-163886170313.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(10.335.872.028),(10.335.872.028),,,-10335872028.0,-10335872028.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.741.031.240.000,4.503.548.710,(4.352.588.898),5.741.182.199.812,5741031240000.0,4503548710.0,-4352588898.0,5741182199812.0
