row_label_raw,row_label_full,Ihouzz,Công ty con,Góp vốn theo HĐHTKD,86.000.000,20.000.000.000,numeric__Công ty con,numeric__Góp vốn theo HĐHTKD,numeric__86.000.000,numeric__20.000.000.000
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty liên kết,Nhận ký quỹ,6.500.000.000,11.380.000.000,,,6500000000.0,11380000000.0
LinkGroup,LinkGroup,LinkGroup,Công ty con,Nhận ký quỹ,4.700.000.000,11.000.000.000,,,4700000000.0,11000000000.0
Hà An,Hà An,Hà An,Công ty trong cùng tập đoàn,Thu hộ,8.535.927.286,8.535.927.286,,,8535927286.0,8535927286.0
GPT,GPT,GPT,Công ty con,Nhận ký quỹ,6.900.000.000,7.000.000.000,,,6900000000.0,7000000000.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Nhận ký quỹ,3.500.000.000,3.500.000.000,,,3500000000.0,3500000000.0
DXMD,DXMD,DXMD,Công ty con,Nhận ký quỹ,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0
Nam Trung Bộ,Nam Trung Bộ,Nam Trung Bộ,Công ty con,Nhận ký quỹ,-,1.000.000.000,,,,1000000000.0
Tiptek,Tiptek,Tiptek,Công ty con,Nhận ký quỹ,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Linkhouse,Linkhouse,Linkhouse,Công ty con,Nhận ký quỹ,300.000.000,400.000.000,,,300000000.0,400000000.0
,,,,,34.521.927.286,66.815.927.286,,,34521927286.0,66815927286.0
