row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Giá trị vàng tiền tệđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng côngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Giá trị vàng tiền tệđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng côngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,69.159,644.402,140.364,308.268,1.162.193,69159.0,644402.0,140364.0,308268.0,1162193.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,566.241,-,-,566.241,,566241.0,,,566241.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,94.838,11.724.313,-,552.353,12.371.504,94838.0,11724313.0,,552353.0,12371504.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,86.159,10.128.215,13.752,2.947,10.231.073,86159.0,10128215.0,13752.0,2947.0,10231073.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,546,59.421,50,7,60.024,546.0,59421.0,50.0,7.0,60024.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,250.702,23.122.592,154.166,863.575,24.391.035,250702.0,23122592.0,154166.0,863575.0,24391035.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,32,5.261.516,-,33,5.261.581,32.0,5261516.0,,33.0,5261581.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,234.262,6.888.784,-,619.805,7.742.851,234262.0,6888784.0,,619805.0,7742851.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,10.764.957,-,50.626,10.815.583,,10764957.0,,50626.0,10815583.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,1.132,229.747,-,87.341,318.220,1132.0,229747.0,,87341.0,318220.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,235.426,23.145.004,-,757.805,24.138.235,235426.0,23145004.0,,757805.0,24138235.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,15.276,(22.412),154.166,105.770,252.800,15276.0,-22412.0,154166.0,105770.0,252800.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(13.815),58.863,-,(107.810),(62.762),-13815.0,58863.0,,-107810.0,-62762.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",1.461,36.451,154.166,(2.040),190.038,1461.0,36451.0,154166.0,-2040.0,190038.0
