row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,3.011.974(2.396.544),2.284.699(1.691.044),23.321.031(18.938.145),28.617.704(23.025.733),(16.447.525)16.447.525,12.170.179(6.578.208),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,3.011.974(2.396.544),2.284.699(1.691.044),23.321.031(18.938.145),28.617.704(23.025.733),(16.447.525)16.447.525,12.170.179(6.578.208),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,615.430,593.655,4.382.886,5.591.971,-,5.591.971,615430.0,593655.0,4382886.0,5591971.0,,5591971.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,151.389,47.022,1.497.683,1.696.094,-,1.696.094,151389.0,47022.0,1497683.0,1696094.0,,1696094.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,766.819,640.677,5.880.569,7.288.065,-,7.288.065,766819.0,640677.0,5880569.0,7288065.0,,7288065.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(347.091),(244.362),(2.883.956),(3.475.409),-,(3.475.409),-347091.0,-244362.0,-2883956.0,-3475409.0,,-3475409.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,419.728,396.315,2.996.613,3.812.656,-,3.812.656,419728.0,396315.0,2996613.0,3812656.0,,3812656.0
Hoàn nhập/(Chi phí) dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Hoàn nhập/(Chi phí) dự phòng rủi ro tín dụng,Hoàn nhập/(Chi phí) dự phòng rủi ro tín dụng,185.785,(30.341),(259.034),(103.590),-,(103.590),185785.0,-30341.0,-259034.0,-103590.0,,-103590.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,605.513,365.974,2.737.579,3.709.066,-,3.709.066,605513.0,365974.0,2737579.0,3709066.0,,3709066.0
TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,,-,,,,,,,
Tiền mặt và vàng,TẢI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,272.931,257.895,1.595.037,2.125.863,-,2.125.863,272931.0,257895.0,1595037.0,2125863.0,,2125863.0
Tiền gửi tại và cho vay NHNN Việt Nam và các TCTD khác,TẢI SẢN > Tiền gửi tại và cho vay NHNN Việt Nam và các TCTD khác,Tiền gửi tại và cho vay NHNN Việt Nam và các TCTD khác,26.956,11.535,31.592.852,31.631.343,-,31.631.343,26956.0,11535.0,31592852.0,31631343.0,,31631343.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TẢI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,120.182,120.182,-,120.182,,,120182.0,120182.0,,120182.0
Cho vay khách hàng – gộp,TẢI SẢN > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,13.878.984,18.787.598,97.839.032,130.505.614,-,130.505.614,13878984.0,18787598.0,97839032.0,130505614.0,,130505614.0
Đầu tư – gộp,TẢI SẢN > Đầu tư – gộp,Đầu tư – gộp,-,-,16.218.725,16.218.725,-,16.218.725,,,16218725.0,16218725.0,,16218725.0
Tài sản cố định,TẢI SẢN > Tài sản cố định,Tài sản cố định,16.792,8.328,3.245.965,3.271.085,-,3.271.085,16792.0,8328.0,3245965.0,3271085.0,,3271085.0
Tài sản khác – gộp,TẢI SẢN > Tài sản khác – gộp,Tài sản khác – gộp,20.046.560,121.669,2.847.435,23.015.664,(19.912.862),3.102.802,20046560.0,121669.0,2847435.0,23015664.0,-19912862.0,3102802.0
TỔNG TÀI SẢN,TẢI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,34.242.223,19.187.025,153.459.228,206.888.476,(19.912.862),186.975.614,34242223.0,19187025.0,153459228.0,206888476.0,-19912862.0,186975614.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,24.261,24.261,-,24.261,,,24261.0,24261.0,,24261.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,149,2.208,11.890.669,11.893.026,-,11.893.026,149.0,2208.0,11890669.0,11893026.0,,11893026.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,32.774.898,10.609.324,105.230.349,148.614.571,-,148.614.571,32774898.0,10609324.0,105230349.0,148614571.0,,148614571.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,632.631,8.049.094,15.275.430,23.957.155,(19.912.862),4.044.293,632631.0,8049094.0,15275430.0,23957155.0,-19912862.0,4044293.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,33.407.678,18.660.626,132.420.709,184.489.013,(19.912.862),164.576.151,33407678.0,18660626.0,132420709.0,184489013.0,-19912862.0,164576151.0
