row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 Triệu đồng,Ngày 31 tháng 12 năm 2021 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,5,2.125.863,1.936.330,5.0,2125863.0,1936330.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,5.584.541,3.392.981,6.0,5584541.0,3392981.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,,26.046.802,25.206.015,,26046802.0,25206015.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,26.046.802,25.206.015,71.0,26046802.0,25206015.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,120.182,4.262,8.0,120182.0,4262.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,129.196.168,113.308.080,,129196168.0,113308080.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,130.505.614,114.674.630,9.0,130505614.0,114674630.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10.1,(1.309.446),(1.366.550),101.0,-1309446.0,-1366550.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,16.074.579,15.880.578,,16074579.0,15880578.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,11.1,2.112.868,7.354.411,111.0,2112868.0,7354411.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,"11.2, 11.3",14.105.857,8.652.217,,14105857.0,8652217.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,11.4,(144.146),(126.050),114.0,-144146.0,-126050.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,3.271.085,3.357.843,,3271085.0,3357843.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,12.1,703.560,778.868,121.0,703560.0,778868.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.043.820,2.095.986,,2043820.0,2095986.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.340.260),(1.317.118),,-1340260.0,-1317118.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,12.2,2.567.525,2.578.975,122.0,2567525.0,2578975.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.872.711,2.842.792,,2872711.0,2842792.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(305.186),(263.817),,-305186.0,-263817.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,2.636.831,2.745.907,,2636831.0,2745907.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,13.1,1.298.858,1.360.362,131.0,1298858.0,1360362.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",13.2,982.699,983.175,132.0,982699.0,983175.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,TÀI SẢN > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,18.2,20.548,9.545,182.0,20548.0,9545.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,13.3,800.697,815.804,133.0,800697.0,815804.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,13.4,(465.971),(422.979),134.0,-465971.0,-422979.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,185.056.051,165.831.996,,185056051.0,165831996.0
