row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchiu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchiu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchiu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.125.863,-,-,-,-,-,-,2.125.863,,2125863.0,,,,,,,2125863.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,5.584.541,-,-,-,-,-,5.584.541,,,5584541.0,,,,,,5584541.0
Tiền gửi tại và cho vay cácTCTD khác,Tài sản > Tiền gửi tại và cho vay cácTCTD khác,Tiền gửi tại và cho vay cácTCTD khác,-,-,25.846.802,200.000,-,-,-,-,26.046.802,,,25846802.0,200000.0,,,,,26046802.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,120.182,-,-,-,-,-,-,120.182,,120182.0,,,,,,,120182.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.687.182,-,25.309.471,47.661.840,30.121.207,10.884.195,2.035.818,10.805.901,130.505.614,3687182.0,,25309471.0,47661840.0,30121207.0,10884195.0,2035818.0,10805901.0,130505614.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,212.868,7.700.016,-,500.000,278.232,1.362.405,6.165.204,16.218.725,,212868.0,7700016.0,,500000.0,278232.0,1362405.0,6165204.0,16218725.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.271.085,-,-,-,-,-,-,3.271.085,,3271085.0,,,,,,,3271085.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,465.971,2.636.831,-,-,-,-,-,-,3.102.802,465971.0,2636831.0,,,,,,,3102802.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.153.153,8.366.829,64.440.830,47.861.840,30.621.207,11.162.427,3.398.223,16.971.105,186.975.614,4153153.0,8366829.0,64440830.0,47861840.0,30621207.0,11162427.0,3398223.0,16971105.0,186975614.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,6.446,17.815,-,-,-,24.261,,,,6446.0,17815.0,,,,24261.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.656.726,2.236.300,-,-,-,-,11.893.026,,,9656726.0,2236300.0,,,,,11893026.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,47.324.962,31.288.602,41.482.135,24.984.961,3.533.851,60,148.614.571,,,47324962.0,31288602.0,41482135.0,24984961.0,3533851.0,60.0,148614571.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.044.293,-,-,-,-,-,-,4.044.293,,4044293.0,,,,,,,4044293.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,4.044.293,56.981.688,33.531.348,41.499.950,24.984.961,3.533.851,60,164.576.151,,4044293.0,56981688.0,33531348.0,41499950.0,24984961.0,3533851.0,60.0,164576151.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,4.153.153,4.322.536,7.459.142,14.330.492,(10.878.743),(13.822.534),(135.628),16.971.045,22.399.463,4153153.0,4322536.0,7459142.0,14330492.0,-10878743.0,-13822534.0,-135628.0,16971045.0,22399463.0
