row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thủ lao trả cho Hội đồng Quản trị,Thủ lao trả cho Hội đồng Quản trị,Thủ lao trả cho Hội đồng Quản trị,,73.629,6.633,,73629.0,6633.0
Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Chủ tịch (Từ ngày 17 tháng 2 năm 2022),7.613,-,,7613.0,
Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Thành viên (Từ ngày 15 tháng 2 năm 2022),4.636,-,,4636.0,
Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Thành viên (Từ ngày 15 tháng 2 năm 2022),4.636,-,,4636.0,
Ông Nguyễn Hiếu,Ông Nguyễn Hiếu,Ông Nguyễn Hiếu,Thành viên (Từ ngày 15 tháng 2 năm 2022),4.636,-,,4636.0,
Ông Võ Quang Hiền,Ông Võ Quang Hiền,Ông Võ Quang Hiền,Thành viên (Từ ngày 15 tháng 2 năm 2022 đến ngày 13 tháng 9 năm 2022),2.040,-,,2040.0,
Ông Đào Phong Trúc Đại,Ông Đào Phong Trúc Đại,Ông Đào Phong Trúc Đại,Thành viên độc lập (Từ ngày 15 tháng 2 năm 2022 đến ngày 14 tháng 2 năm 2023),3.397,-,,3397.0,
Bà Lê Hồng Anh,Bà Lê Hồng Anh,Bà Lê Hồng Anh,Thành viên (Từ ngày 15 tháng 2 năm 2022 đến ngày 14 tháng 2 năm 2023),3.397,-,,3397.0,
Bà Lương Thị Cẩm Tú (**),Bà Lương Thị Cẩm Tú (**),Bà Lương Thị Cẩm Tú (**),Thành viên (Đến ngày 17 tháng 2 năm 2022),5.321,-,,5321.0,
Ông Yasuhiro Saitoh (**),Ông Yasuhiro Saitoh (**),Ông Yasuhiro Saitoh (**),Chủ tịch (Đến ngày 15 tháng 2 năm 2022),5.287,1.188,,5287.0,1188.0
Ông Nguyễn Quang Thông (**),Ông Nguyễn Quang Thông (**),Ông Nguyễn Quang Thông (**),Phó Chủ tịch (Đến ngày 15 tháng 2 năm 2022),3.858,1.188,,3858.0,1188.0
Ông Lê Minh Quốc (**),Ông Lê Minh Quốc (**),Ông Lê Minh Quốc (**),Thành viên độc lập (Đến ngày 15 tháng 2 năm 2022),5.237,1.188,,5237.0,1188.0
Ông Cao Xuân Ninh (**),Ông Cao Xuân Ninh (**),Ông Cao Xuân Ninh (**),Thành viên (Đến ngày 15 tháng 2 năm 2022),2.643,1.188,,2643.0,1188.0
Ông Ngô Thanh Tùng (**),Ông Ngô Thanh Tùng (**),Ông Ngô Thanh Tùng (**),Thành viên (Đến ngày 15 tháng 2 năm 2022),4.697,1.188,,4697.0,1188.0
Ông Lê Văn Quyết (**),Ông Lê Văn Quyết (**),Ông Lê Văn Quyết (**),Thành viên (Đến ngày 15 tháng 2 năm 2022),1.005,693,,1005.0,693.0
Ông Đăng Anh Mai (**),Ông Đăng Anh Mai (**),Ông Đăng Anh Mai (**),Thành viên (Đến ngày 15 tháng 2 năm 2022),7.613,-,,7613.0,
Ông Hoàng Tuấn Khải (**),Ông Hoàng Tuấn Khải (**),Ông Hoàng Tuấn Khải (**),Thành viên (Đến ngày 15 tháng 2 năm 2022),7.613,-,,7613.0,
Thù lao trả cho Ban kiểm soát (***),Thù lao trả cho Ban kiểm soát (***),Thù lao trả cho Ban kiểm soát (***),,21.300,-,,21300.0,
Tổng cộng (*),Tổng cộng (*),Tổng cộng (*),,94.929,6.633,,94929.0,6633.0
