row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022,Ngày 31 tháng 12năm 2022_1,Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2021_1,numeric__Ngày 31 tháng 12năm 2022,numeric__Ngày 31 tháng 12năm 2022_1,numeric__Ngày 31 tháng 12năm 2021,numeric__Ngày 31 tháng 12năm 2021_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",49.248.099,"37,74",39.150.456,"34,14",49248099.0,37.74,39150456.0,34.14
"Cho vay cá nhân đề mua nhà để ở, nhận quyền sử dụng đất để xây nhà ở","Cho vay cá nhân đề mua nhà để ở, nhận quyền sử dụng đất để xây nhà ở","Cho vay cá nhân đề mua nhà để ở, nhận quyền sử dụng đất để xây nhà ở",19.943.997,"15,28",18.982.117,"16,55",19943997.0,15.28,18982117.0,16.55
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",16.267.117,"12,46",16.622.315,"14,50",16267117.0,12.46,16622315.0,14.5
Xây dựng,Xây dựng,Xây dựng,13.528.536,"10,37",10.455.688,"9,12",13528536.0,10.37,10455688.0,9.12
Hoạt động làm thuê các công việc trong các hộ gia đình. Sản xuất sản phẩm vật chất và dịch vụ tư tiêu dùng của hộ gia đình,Hoạt động làm thuê các công việc trong các hộ gia đình. Sản xuất sản phẩm vật chất và dịch vụ tư tiêu dùng của hộ gia đình,Hoạt động làm thuê các công việc trong các hộ gia đình. Sản xuất sản phẩm vật chất và dịch vụ tư tiêu dùng của hộ gia đình,10.019.378,"7,68",7.501.887,"6,54",10019378.0,7.68,7501887.0,6.54
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",5.438.352,"4,17",3.936.161,"3,43",5438352.0,4.17,3936161.0,3.43
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,2.933.217,"2,25",2.821.531,"2,46",2933217.0,2.25,2821531.0,2.46
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,1.991.496,"1,53",2.534.309,"2,21",1991496.0,1.53,2534309.0,2.21
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hóa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hóa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hóa không khí",1.962.108,"1,50",2.652.756,"2,31",1962108.0,1.5,2652756.0,2.31
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.266.802,"0,97",1.301.447,"1,13",1266802.0,0.97,1301447.0,1.13
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",812.456,"0,62",1.675.324,"1,46",812456.0,0.62,1675324.0,1.46
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",346.186,"0,27",269.122,"0,23",346186.0,0.27,269122.0,0.23
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,303.501,"0,23",1.105.090,"0,96",303501.0,0.23,1105090.0,0.96
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",226.362,"0,17",231.506,"0,21",226362.0,0.17,231506.0,0.21
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,210.757,"0,16",183.749,"0,16",210757.0,0.16,183749.0,0.16
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,164.819,"0,13",99.026,"0,09",164819.0,0.13,99026.0,0.09
Khai khoáng,Khai khoáng,Khai khoáng,130.903,"0,10",641.611,"0,56",130903.0,0.1,641611.0,0.56
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,74.970,"0,06",63.036,"0,05",74970.0,0.06,63036.0,0.05
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",63.038,"0,05",57.151,"0,06",63038.0,0.05,57151.0,0.06
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,5.573.520,"4,26",4.390.348,"3,83",5573520.0,4.26,4390348.0,3.83
,,,130.505.614,"100,00",114.674.630,"100,00",130505614.0,100.0,114674630.0,100.0
