row_label_raw,row_label_full,Họ và tên > Ông Trần Tấn Lộc,Chức vụ > Phó Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021)Tổng Giám đốc(Từ ngày 8 tháng 9 năm 2021),Năm nayTriệu đồng > 6.075,Năm trướcTriệu đồng > 3.380,numeric__Chức vụ > Phó Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021)Tổng Giám đốc(Từ ngày 8 tháng 9 năm 2021),numeric__Năm nayTriệu đồng > 6.075,numeric__Năm trướcTriệu đồng > 3.380
Ông Đào Hồng ChâuBà Đình Thị Thu ThảoÔng Nguyễn Hồ Hoàng Vũ,Ông Đào Hồng ChâuBà Đình Thị Thu ThảoÔng Nguyễn Hồ Hoàng Vũ,Ông Đào Hồng ChâuBà Đình Thị Thu ThảoÔng Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc kiềmGiám đốc Tài chính,3.7333.600,2.7092.713,,37333600.0,27092713.0
Ông Nguyễn Hương MinhÔng Nguyễn Cảnh Vinh,Ông Nguyễn Hương MinhÔng Nguyễn Cảnh Vinh,Ông Nguyễn Hương MinhÔng Nguyễn Cảnh Vinh,Phó Tổng Giám đốcQuyền Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021),3.1633.974,2.5843.290,,31633974.0,25843290.0
Bà Văn Thái Bảo Nhi,Bà Văn Thái Bảo Nhi,Bà Văn Thái Bảo Nhi,Phó Tổng Giám đốc(Đến ngày 9 tháng 4 năm 2021),-,4.654,,,4654.0
Ông Lã Quang Trung,Ông Lã Quang Trung,Ông Lã Quang Trung,Kế toán Trường,1.289,1.1951.024,,1289.0,11951024.0
Tổng cộng (*),Tổng cộng (*),Tổng cộng (*),,21.834,21.549,,21834.0,21549.0
