row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,532.125,841.369,208.594,45.427,468.471,2.095.986,532125.0,841369.0,208594.0,45427.0,468471.0,2095986.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,29.240,39.003,-,1.384,43.952,113.579,29240.0,39003.0,,1384.0,43952.0,113579.0
"Thanh lý, nhượng bán vàgiảm khác trong năm","Nguyên giá > Thanh lý, nhượng bán vàgiảm khác trong năm","Thanh lý, nhượng bán vàgiảm khác trong năm",(103.815),(1.103),(22.473),(1.745),(36.609),(165.745),-103815.0,-1103.0,-22473.0,-1745.0,-36609.0,-165745.0
Điều chuyển nội bộ,Nguyên giá > Điều chuyển nội bộ,Điều chuyển nội bộ,(673),(423),-,(238),1.334,-,-673.0,-423.0,,-238.0,1334.0,
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,456.877,878.846,186.121,44.828,477.148,2.043.820,456877.0,878846.0,186121.0,44828.0,477148.0,2043820.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Ngày 31 tháng 12 năm 2021,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,102.344,601.442,180.049,41.739,391.544,1.317.118,102344.0,601442.0,180049.0,41739.0,391544.0,1317118.0
Khẩu hao trong năm,Giá trị hao mòn luỹ kế > Khẩu hao trong năm,Khẩu hao trong năm,11.934,52.750,6.388,1.332,26.283,98.687,11934.0,52750.0,6388.0,1332.0,26283.0,98687.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(17.197),(1.103),(21.442),(1.668),(34.135),(75.545),-17197.0,-1103.0,-21442.0,-1668.0,-34135.0,-75545.0
Điều chuyển nội bộ,Giá trị hao mòn luỹ kế > Điều chuyển nội bộ,Điều chuyển nội bộ,-,(542),-,(119),661,-,,-542.0,,-119.0,661.0,
Ngày 31 tháng 12 năm 2022,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,97.081,652.547,164.995,41.284,384.353,1.340.260,97081.0,652547.0,164995.0,41284.0,384353.0,1340260.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,429.781,239.927,28.545,3.688,76.927,778.868,429781.0,239927.0,28545.0,3688.0,76927.0,778868.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,359.796,226.299,21.126,3.544,92.795,703.560,359796.0,226299.0,21126.0,3544.0,92795.0,703560.0
