row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022Triệu đồng,Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,587.810,106.544,587810.0,106544.0
Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,406.223,90.949,406223.0,90949.0
Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),181.063,15.010,181063.0,15010.0
Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,524,585,524.0,585.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,966.816,620.623,966816.0,620623.0
Các khoản phải trả liên quan đến dịch vụ thanh toán thể,Các khoản phải trả liên quan đến dịch vụ thanh toán thể,Các khoản phải trả liên quan đến dịch vụ thanh toán thể,304.117,151.043,304117.0,151043.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,195.198,204.295,195198.0,204295.0
Các khoản phải trả liên quan đến nghiệp vụ L/C,Các khoản phải trả liên quan đến nghiệp vụ L/C,Các khoản phải trả liên quan đến nghiệp vụ L/C,179.410,173.580,179410.0,173580.0
Các khoản thuế phải nộp Nhà nước,Các khoản thuế phải nộp Nhà nước,Các khoản thuế phải nộp Nhà nước,175.214,20.066,175214.0,20066.0
Phải trả liên quan đến hỗ trợ cho vay lãi suất,Phải trả liên quan đến hỗ trợ cho vay lãi suất,Phải trả liên quan đến hỗ trợ cho vay lãi suất,29.826,29.826,29826.0,29826.0
Phải trả liên quan nghiệp vụ Swap,Phải trả liên quan nghiệp vụ Swap,Phải trả liên quan nghiệp vụ Swap,28.181,-,28181.0,
Phải trả liên quan đến Hệ thống Ngân hàng lôi,Phải trả liên quan đến Hệ thống Ngân hàng lôi,Phải trả liên quan đến Hệ thống Ngân hàng lôi,11.805,11.805,11805.0,11805.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,2.455,2.455,2455.0,2455.0
Phải trả khác,Phải trả khác,Phải trả khác,40.610,27.553,40610.0,27553.0
,,,1.554.626,727.167,1554626.0,727167.0
