row_label_raw,row_label_full,col_0,2020 > Giá trị VND,2020 > Dự phòng VND,2019 > Giá trị VND,2019 > Dự phòng VND,numeric__2020 > Giá trị VND,numeric__2020 > Dự phòng VND,numeric__2019 > Giá trị VND,numeric__2019 > Dự phòng VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Đặt cọc mua tàu bay nhân trong 12 tháng tiếp theo (i),Bên thứ ba > Đặt cọc mua tàu bay nhân trong 12 tháng tiếp theo (i),Đặt cọc mua tàu bay nhân trong 12 tháng tiếp theo (i),4.189.158.334.254,-,3.105.297.136.367,-,4189158334254.0,,3105297136367.0,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Bên thứ ba > Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,1.824.881.774.817,-,2.078.881.774.817,-,1824881774817.0,,2078881774817.0,
Phải thu khác từ nhà cung cấp tàu bay(Thuyết minh 33),Bên thứ ba > Phải thu khác từ nhà cung cấp tàu bay(Thuyết minh 33),Phải thu khác từ nhà cung cấp tàu bay(Thuyết minh 33),557.160.000.000,-,-,-,557160000000.0,,,
Khoản chiết khấu từ nhà cung cấp,Bên thứ ba > Khoản chiết khấu từ nhà cung cấp,Khoản chiết khấu từ nhà cung cấp,689.174.934.689,-,482.424.813.352,-,689174934689.0,,482424813352.0,
Phải thu từ quỹ bảo dưỡng tàu bay thuê,Bên thứ ba > Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,232.782.861.484,-,282.879.455.806,-,232782861484.0,,282879455806.0,
Trả hỗ (ii),Bên thứ ba > Trả hỗ (ii),Trả hỗ (ii),130.300.848.969,-,-,-,130300848969.0,,,
Lãi tiền gửi ngân hàng,Bên thứ ba > Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,2.587.221.918,-,34.043.550.823,-,2587221918.0,,34043550823.0,
Phải thu khác,Bên thứ ba > Phải thu khác,Phải thu khác,494.365.104.699,-,374.552.844.126,-,494365104699.0,,374552844126.0,
,,,8.120.411.080.830,-,6.358.079.575.291,-,8120411080830.0,,6358079575291.0,
Bên liên quan(Thuyết minh 38(b)),Bên thứ ba > Bên liên quan(Thuyết minh 38(b)),Bên liên quan(Thuyết minh 38(b)),4.017.818.077.171,-,1.970.807.863.472,-,4017818077171.0,,1970807863472.0,
,,,12.138.229.158.001,-,8.328.887.438.763,-,12138229158001.0,,8328887438763.0,
