row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày > 2020,Năm tài chính kết thúc ngày > 2019,numeric__Năm tài chính kết thúc ngày > 2020,numeric__Năm tài chính kết thúc ngày > 2019
Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),68.591.150.827,3.806.761.193.483,68591150827.0,3806761193483.0
Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),523.838.594,535.670.857,523838594.0,535670857.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),131,7.107,131.0,7107.0
